"search-number","evaluation","evals-requested-so-far","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","50","0.16","0.36","0.06","0.11","0.5700000000000001","0.3","0.18","0.72","0.5700000000000001","0.32","0.07","0.67","0.71","0.8","0.87","0.67","0.24","0.8200000000000001","0.67","0.8200000000000001","0.55","0.6","0.31","0.5","0.28","0.45","0.87","0.64","0.38","0.53","0.97","0.07","0.22","0.53","0.86","""-722249904""","203","203","203","0","203"
"1","2","50","1","0.11","0.21","0.09","0.76","0","0.5","0.74","0.89","0.4","0.98","0.89","0.34","0.81","0.41000000000000003","0.9400000000000001","0.79","0.27","0.32","0.15","0.46","0.72","0.93","0.67","0.71","0.7000000000000001","0.12","0.92","0.79","0.07","0.5","0.6","0.85","0","0.61","""-1631611881""","203","203","203","0","203"
"1","3","50","0.43","0.53","0.75","0.08","0.2","0.64","0.03","0.41000000000000003","0.32","0.97","0.18","0.22","0.53","0.41000000000000003","0.9","0.07","0.65","0.04","0.6","0.71","0.38","0.67","0.01","0.54","0.6900000000000001","0.34","0.45","0.19","0.97","0.84","0.81","0.32","0.59","0.58","0.26","""254521340""","203","203","203","0","203"
"1","4","50","0.49","0.79","0.34","0.79","0.49","0.87","0.12","0.43","0.53","0.6","0.15","0.37","0.45","0.74","0.79","0.28","0.37","0.42","0.6","0.49","0.27","0.52","0.63","0.42","0.43","0.9","0","0.71","0.79","0.07","0.14","0.35000000000000003","0.84","0.17","0.89","""178355022""","203","203","203","0","203"
"1","5","50","0.8","0.53","0.5","0.34","0.15","0.37","0.78","0.52","0.11","0.08","0.29","0.45","0.23","0.39","0.72","0.45","0.39","0.86","0.8200000000000001","0.79","0.47000000000000003","0.26","0.52","0.81","0.67","0.55","0.75","0.41000000000000003","0.34","0","0.19","0.9","0.13","0.54","0.55","""-265328226""","203","203","203","0","203"
"1","6","50","0.23","0.75","0.15","0.26","0.19","0.06","0.59","0.35000000000000003","0.93","0.37","0.19","0.11","0.63","0.72","0.75","0.46","0.45","0.74","0.28","0.49","0.47000000000000003","0.43","0.06","0.41000000000000003","0.46","0.58","0.27","0.28","0.3","0.45","0.34","0.67","0.73","0.92","0.19","""-1651330656""","203","203","203","0","203"
"1","7","50","0.66","0.88","0.36","0.3","0.59","0.8200000000000001","0.8200000000000001","0.8200000000000001","0.18","0.97","0.31","0.59","0.22","1","0.98","0.28","0.98","0.52","0.91","0.92","0.88","0.49","0.34","0.49","0.49","0.44","0.86","0.89","0.52","0.86","0.37","0.86","0.48","0.62","0.9400000000000001","""805290700""","203","203","203","0","203"
"1","8","50","0.6","0.36","0.8200000000000001","0.89","0.8","0.14","0.22","0.65","0.98","0.29","0.26","0.12","0.36","0.52","0.19","0.6","0.47000000000000003","0.47000000000000003","0.3","0.26","0.88","0.63","0.1","0.51","0.6","0.22","0.28","0.49","0.06","0.89","0.75","0.47000000000000003","0.1","0.8","0.9400000000000001","""1656574044""","203","203","203","0","203"
"1","9","50","0.39","0.55","0.3","0.23","0.92","0.35000000000000003","0.23","0.25","0.8200000000000001","0.8200000000000001","0.96","0.6","0.78","0.08","0.4","0.48","0.45","0.89","0.56","0.19","0.56","0.98","0.37","0.11","0.09","0.55","0.49","0.14","0.04","0.49","0.39","0.48","0.75","0.3","0.44","""-787635930""","203","203","203","0","203"
"1","10","50","0.68","0.61","0.02","0.34","0.31","0.9400000000000001","0.29","0.02","0.23","0.81","0.32","0.13","0.67","0.45","0.23","0.21","0.21","0.11","0.46","0.02","0.75","0.44","0.5700000000000001","0.91","0.9400000000000001","0.56","0.9","0.67","0.56","0.64","0.97","0.22","0.56","0.5700000000000001","0.41000000000000003","""1826219236""","203","203","203","0","203"
