"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","num-replicates","best-fitness-so-far"
"1","1","0.16","0.36","0.06","0.11","0.5700000000000001","0.3","0.18","0.72","0.5700000000000001","0.32","0.07","0.67","0.71","0.8","0.87","0.67","0.24","0.8200000000000001","0.67","0.8200000000000001","0.55","0.6","0.31","0.5","0.28","0.45","0.87","0.64","0.38","0.53","0.97","0.07","0.22","0.53","0.86","1","203"
"1","2253","0.14","0","0","0.7000000000000001","0.47000000000000003","0.23","0.23","0.34","0","0.11","0.54","0.22","0.84","0.45","0.04","0.87","0.38","0.11","0.13","0.19","0.9","0.67","0.33","0.39","0.9","0.64","0.15","0.27","0.48","0.27","0.52","0.79","0.8200000000000001","0.9500000000000001","0.85","1","200"
"1","2489","0.01","0","0","0.89","0.31","0.98","0.25","0.17","0.64","0.08","0.14","0.22","0.79","0.48","0.11","0.87","0.4","0.46","0.45","0.34","0.14","0.23","0.8200000000000001","0.14","0.16","0.35000000000000003","0.59","0.45","0.35000000000000003","0.43","0.65","0.54","0.79","0.66","0.59","1","199"
