"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","fitness","num-replicates","best-fitness-so-far"
"1","2485","0.8300000000000001","0.14","0.33","0.9500000000000001","0.22","0.87","0.2","0.85","0.61","0.61","0.3","0.11","0.8200000000000001","0.11","0.9","0.49","0.3","0.54","0.1","0.6","0.9","0.45","0.91","0.34","0.41000000000000003","0.54","0.9500000000000001","0.55","0.19","0.33","0.7000000000000001","0.67","0.8200000000000001","0.84","0.87","203","1","200"
"1","2486","0.03","0.3","0.58","0.35000000000000003","0.08","0.08","0.08","0.35000000000000003","0.01","0.72","0.75","0.67","0.62","0.01","0.72","0.9","0.34","0.8","0.37","0.26","0.92","0.56","0.65","0.33","0.67","0.06","0.98","0.05","0.97","0.1","0.72","0.15","0.33","0.09","0.9500000000000001","203","1","200"
"1","2487","0.86","0.93","0.58","0.46","0.11","0.08","0.23","0.35000000000000003","0.01","0.72","0.06","0.28","0.3","0.9400000000000001","0.5700000000000001","0.74","0.86","0.92","0.75","0.06","0.42","0.63","0.78","0.87","0.08","0.73","0.89","0.79","0.14","0.93","0.76","0.33","0.58","0.1","0.15","203","1","200"
"1","2488","0.9","0.56","0.16","0.91","0.9500000000000001","0.99","0.49","0.8200000000000001","0.5","0.5700000000000001","0.25","0.41000000000000003","0.97","0.86","0.21","0.49","0.35000000000000003","0.46","0.79","0.97","0.45","0.16","0.86","0.49","0.19","0.61","0.43","0.45","0.9400000000000001","0.43","0.65","0.81","0.48","0.93","0.59","203","1","200"
"1","2489","0.01","0","0","0.89","0.31","0.98","0.25","0.17","0.64","0.08","0.14","0.22","0.79","0.48","0.11","0.87","0.4","0.46","0.45","0.34","0.14","0.23","0.8200000000000001","0.14","0.16","0.35000000000000003","0.59","0.45","0.35000000000000003","0.43","0.65","0.54","0.79","0.66","0.59","199","1","199"
"1","2490","0.89","0.63","0.16","0.91","0.32","0.98","0.49","0.9","0.5","0.75","0.25","0.11","0.29","0","0.9400000000000001","0.49","0.31","0.1","0.56","0.49","0.36","0.46","0.91","0.15","0.31","0.56","0.98","0.36","0.2","0.24","0.9500000000000001","0.53","0.56","0.17","0.49","203","1","199"
"1","2491","0.14","0.19","0","0.65","0.79","0.6900000000000001","0.06","0.59","0.77","0.21","0.07","0.5700000000000001","0.54","0.4","0.4","0.97","0.21","0.8200000000000001","0.16","0.02","0.35000000000000003","0.5","0.89","0.44","0.05","0.97","0.87","0.8200000000000001","0.29","0.12","0.59","0.14","0.34","0.15","0.8200000000000001","203","1","199"
"1","2492","0.61","0.79","0.15","0.64","0.37","0.39","0.23","0.3","0.44","0.7000000000000001","0.63","0.05","0.06","0.26","0.7000000000000001","0.14","0.18","0","0.46","0.58","0.86","0.65","0.07","0.9500000000000001","0.04","0.75","0.48","0.5700000000000001","0.19","0.14","0.09","0.14","0.5700000000000001","0.55","0.52","203","1","199"
"1","2493","0.41000000000000003","0.52","0.56","0.3","0.02","0.67","0.59","0.6","0.6900000000000001","0.3","0.6","0.05","0.09","0.16","0.48","0.97","0.15","0.77","0.63","0.22","0.8200000000000001","0.34","0.99","0.01","0.96","0","0.04","0.89","0.13","0.5700000000000001","0.09","0.1","0.07","0.22","0.12","203","1","199"
"1","2494","0.14","0.98","0.56","0.7000000000000001","0.01","0.29","0.25","0.17","0.64","0.08","0.54","0.22","0.87","0.15","0.11","0.87","0.4","0.81","0.37","0.26","0.92","0.56","0.65","0.33","0.86","0.56","0.97","0.05","0.3","0.21","0.67","0.15","0.33","0.08","0.9500000000000001","203","1","199"
"1","2495","0.5","0.12","0.31","0.9500000000000001","0.64","0.64","0.98","0","0.86","0.37","0.86","0.04","0.09","0.19","0.64","0.97","0.11","0.5","0.66","0.04","0.8200000000000001","0.35000000000000003","0.86","0.14","0.15","0.97","0.58","0.34","0.34","0.43","0.78","0.86","0.79","0.93","0.6900000000000001","203","1","199"
"1","2496","0.14","0.98","0","0.7000000000000001","0.01","0.29","0.25","0.45","0.64","0.08","0.54","0.41000000000000003","0.87","0.14","0.11","0.86","0.43","0.81","0.16","0.26","0.92","0.56","0.65","0.33","0.86","0.06","0.04","0.05","0.3","0.21","0.11","0","0.33","0.08","0.9500000000000001","203","1","199"
"1","2497","0.33","0.49","0.89","0.32","0.41000000000000003","0.05","0.06","0.58","0.66","0.4","0.5700000000000001","0.34","0.22","0.6900000000000001","0.23","0.5","0.7000000000000001","0.37","0.75","0.77","0.36","0.97","0.64","0.39","0.05","0.62","0.91","0.06","0.34","0.11","0.9500000000000001","0.55","0.67","0.84","0.6","203","1","199"
"1","2498","0.02","0.78","0.5700000000000001","0.92","0.34","0.9400000000000001","0.29","0.08","0.6900000000000001","0.3","0.53","0.56","0.29","0.97","0.99","0.34","0.05","0.7000000000000001","0.66","0.37","0.03","0.07","0.78","0.39","0.28","0.56","0.85","0.9","0.62","0.92","0.77","0.34","0.05","0.05","0.04","203","1","199"
"1","2499","0.02","0.77","0.62","0.93","0.75","0.65","0.26","0.27","0.86","0.26","0.56","0.1","0.46","0.96","0.32","0.99","0.17","0","0.74","0.06","0.1","0.96","0.77","0.88","0.04","0.55","0.7000000000000001","0.79","0.14","0.67","0.52","0.32","0.58","0.11","0.15","203","1","199"
