"search-number","evaluation","evals-requested-so-far","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","50","0.08","0.93","0.42","0.21","0.34","0.92","0.92","0.63","0.49","0","0.04","0.06","0.39","0.32","0.27","0.64","0.58","0.02","0.21","0.43","0.89","0.27","0.01","0.65","0.49","0.98","0.75","0.79","0.13","0.49","0.26","0.98","0.54","0.46","0.79","""-1620502835""","236","236","236","0","236"
"1","2","50","0.65","0.78","0.4","0.7000000000000001","0.41000000000000003","0.2","0.1","0.14","0.42","0.11","0.8300000000000001","0.63","0.31","0.04","0.14","0.19","0.22","0.9500000000000001","0.59","0.39","0.35000000000000003","0.79","0.26","0.05","0.49","0.67","0.85","0.21","0.88","0.35000000000000003","0.45","0.63","0.55","0.46","0.3","""237780969""","204","204","204","0","204"
"1","3","50","0.72","0.34","0.9500000000000001","0.86","0.11","0.06","0.23","0.05","0.77","0.9400000000000001","0.15","0.71","0.44","0.45","0","0.07","0.01","0.62","0.11","0.22","0.35000000000000003","0.29","0.37","0.19","0.29","0.85","0.11","0.86","0.16","0.54","0.24","0.66","0.98","0.37","0.42","""-594302312""","204","204","204","0","204"
"1","4","50","0.67","0.42","0.47000000000000003","0.88","0.77","0.64","0.64","0.22","0.34","0.79","0.85","0.65","0.97","0.9","0.41000000000000003","0.34","0.35000000000000003","0.45","0.52","0.12","0.04","0.35000000000000003","0.86","0.64","0.51","0.64","0.49","0.87","0.44","0.9400000000000001","0.61","0.52","0.24","0.01","0.91","""1798800652""","212","212","212","0","212"
"1","5","50","0.97","0.79","0.42","0.96","0.34","0.07","0.01","0.01","0.68","0","0.42","0.3","0.36","0.04","0.86","0.46","0.03","0.58","0.25","0.66","0.23","0.81","0.04","0.45","0.84","0.45","0.16","0.4","0.27","0.76","0.37","0.5","0.14","0.89","0.16","""923872011""","204","204","204","0","204"
"1","6","50","0.84","0.64","0.04","0.46","0.85","0.79","0.1","0.62","0.61","0.02","0.39","0.86","0.48","0.5700000000000001","0.45","0.42","0.68","0.75","0.86","0.32","0.75","0.8200000000000001","0.19","0.29","0.6900000000000001","0.87","0.08","0.36","0.29","0.1","0.58","0.52","0.15","0.41000000000000003","0.11","""1294341146""","233","233","233","0","233"
"1","7","50","0.67","0.61","0.5700000000000001","0.62","0.6","0.56","0.65","0.08","1","0.84","0.74","0.28","0.38","0.05","0.97","0.19","0.64","0.88","0.96","0.6900000000000001","0.34","0.98","0.96","0.06","0.44","0.41000000000000003","0.3","0.97","0","0.04","0.17","0.3","0.85","0.74","0.8300000000000001","""-713033035""","204","204","204","0","204"
"1","8","50","0.26","0.98","0.33","0.73","0.33","0.19","0.52","0.18","0.75","0","0.34","0.11","0.98","0.76","0.73","0.03","0.21","0.13","0.79","0.62","0.97","0.18","0.84","0.9400000000000001","0.86","0.01","0.3","0.78","0.59","0.43","0.45","0.89","0.4","0.5","0.64","""-791678580""","236","236","236","0","236"
"1","9","50","0.5","0.21","1","0.91","0.88","0.9400000000000001","0.37","0.97","0.48","0.77","0.25","0.81","0.58","0.6","0.9500000000000001","0.68","0.37","0.77","0.65","0.17","0.66","0.12","0.67","0.5","0.6900000000000001","0.86","0.34","0.99","0.9400000000000001","0.41000000000000003","0.23","0.45","0.9400000000000001","0.14","0.46","""1988339799""","204","204","204","0","204"
"1","10","50","0.46","0.97","0.04","0.29","0.86","0.9","0.59","0.05","0.81","0.11","0.59","0.9500000000000001","0","0.3","0.74","0.6900000000000001","0.79","0.73","0.3","0.45","0.42","0.77","0.45","0.93","0.74","0.96","0.73","0.9","0.21","0.5","0.27","0.6900000000000001","0.3","0.34","0.67","""-425250675""","204","204","204","0","204"
