"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","num-replicates","best-fitness-so-far"
"1","1","0.07","0.47000000000000003","0.62","0.19","0.97","0.13","0.04","0.45","0.26","0.06","0.75","0.39","0.96","0","0.77","0.27","0.28","0.79","0.07","0.55","0.05","0.8200000000000001","0.02","0.68","0.71","0.09","0.07","0.85","0.74","0.97","0.99","0.16","0.67","0.38","0.55","1","356"
"1","4","0.5700000000000001","0.11","0.59","0.03","0.75","0.07","0.3","0.5700000000000001","0.03","0.98","0.92","0.78","0.04","0.58","0.64","0.23","0.89","0.79","0.81","0.76","0.98","0.34","0.36","0.86","0.8","0.34","0.75","0.37","0.2","0.6","0.39","0.36","0.97","0.02","0.92","1","343"
"1","10","0","0.68","0.9400000000000001","0.33","0.21","0.75","0.91","1","0.89","0.71","0.51","0.21","0.76","0.13","0.49","1","0.97","0.38","0.9","0.18","0.85","0.14","0.52","0.07","0.58","0.7000000000000001","0.71","0.03","0.88","0.79","0","0.5","0.5","0.48","0.41000000000000003","1","328"
"1","230","0","0.23","0.55","0.56","0.08","0.88","0.03","0.29","0.79","0.03","0.22","0.79","0.28","0.62","0.13","1","0.97","0.38","0.98","0.45","0.3","0.14","0.52","0.06","0.6900000000000001","0.6900000000000001","0.39","0.61","0.4","0.24","0.8","0.75","0.6","0.09","0.27","1","326"
"1","312","0","0.23","0.55","0.56","0.08","0.07","0.28","0.02","0.79","0.03","0.22","0.64","0.27","0.62","0.13","0.8200000000000001","0.97","0.38","0.98","0.18","0.46","0.41000000000000003","0.5700000000000001","0.6900000000000001","0.37","0.78","0.67","0.6900000000000001","0.19","0.72","0.72","0.8200000000000001","0.42","0.48","1","1","325"
"1","410","0","0.08","0.55","0.56","0.08","0.88","0.03","0.26","0.9500000000000001","0.8200000000000001","0.51","0.22","0.12","0.13","0.32","0.14","0.07","0.52","0.8200000000000001","0.29","0.27","0.29","0.43","0.8300000000000001","0.1","0.59","0.81","0.19","0.97","0.3","0.81","0.75","0.64","0","0.45","1","301"
"1","752","0","0.01","0.41000000000000003","0.67","0.67","0.07","0.32","0.03","0.48","0.35000000000000003","0.52","0.21","0.15","0.21","0.44","0.97","0.63","0.75","0.09","0.22","0.4","0.47000000000000003","0.02","0.79","0.62","0.52","0.56","0.31","0.54","0.67","0.8300000000000001","0.26","0.64","0.35000000000000003","0.59","1","288"
