"n",40,1
373,5,0.56,0.03,0.36,0.02,0,0.08,0.65
433,10,0.19,0.21,0.07,0,0.13,0.04,0.04
493,10,0.67,0.8,0.52,0,0.9400000000000001,0,0.04
553,10,0.34,0.72,0.96,0.49,0.5700000000000001,0.01,0.73
613,20,0.9,0.08,0.44,0.93,0.97,0.21,0.24
738,"end"
