"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","num-replicates","best-fitness-so-far"
"1","1","0.38","0.67","0.9","0.28","0.36","0.11","0.99","0.56","0.22","0.31","0.27","0.49","0.06","0.45","0.55","0.71","0.47000000000000003","0.5","0.75","0.9","0.25","0.64","0.5","0.02","0.03","0.49","0.11","0.25","0.81","0.4","0.37","0.37","0.22","0.67","0.46","1","291"
"1","6","0.38","0.75","0","0.66","0.59","0.14","0.43","0.09","0.04","0.58","0.99","0.8200000000000001","0.37","0.74","0.6900000000000001","0.64","0.6","1","0.85","0.14","0.31","0.55","0.84","0.49","0.29","0.11","0.84","0.17","0.67","0.73","0.06","0.13","0.51","0.58","0.3","1","288"
"1","9","0.24","0.02","0.46","0.61","0.97","0.39","0.67","0.91","0.05","0","0.45","0.22","0.87","0.33","0.5700000000000001","0.9","0.91","0.53","0.09","0.12","0.18","0.33","0.75","0.85","0.14","0.5700000000000001","0.8200000000000001","0.66","0.61","0.88","0.28","0.5","0.6900000000000001","0.37","0.63","1","223"
"1","79","0.77","0.66","0.93","0.8200000000000001","0.97","0.37","0.8200000000000001","0.31","0.71","0.05","0","0.12","0.52","0.49","0.28","0.75","0.42","0.63","0.15","0.72","0.67","0.84","0.22","0.07","0.18","0.18","0.65","0.14","0.22","0.07","0.21","0.93","0.01","0.47000000000000003","0.01","1","216"
"1","322","0.78","0.78","0.93","0.56","0.64","0.37","0.8200000000000001","0.96","0.71","0.37","0","0.6900000000000001","0.86","0","0.15","0.71","0.41000000000000003","0","0.41000000000000003","0.5","0.9400000000000001","0.1","0.29","0.48","0.07","0.6","0.38","0.39","0.23","0.63","0.42","0.6900000000000001","0.09","0.54","0.53","1","215"
