"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","fitness","num-replicates","best-fitness-so-far"
"1","1","0.38","0.67","0.9","0.28","0.36","0.11","0.99","0.56","0.22","0.31","0.27","0.49","0.06","0.45","0.55","0.71","0.47000000000000003","0.5","0.75","0.9","0.25","0.64","0.5","0.02","0.03","0.49","0.11","0.25","0.81","0.4","0.37","0.37","0.22","0.67","0.46","291","1","291"
"1","2","0.5","0.75","0.39","0.92","0.3","0.01","0.97","0.33","0.8200000000000001","0.85","0.8200000000000001","0.46","0.19","0.65","0.23","0.86","0.1","0.23","0.22","0.13","0.9","0.12","0.76","0.49","0.86","0.23","0.44","0.52","0.26","0.38","0.71","0.78","0.37","0.21","0.02","291","1","291"
"1","3","0.17","0.36","0.5","0.79","0.84","0.75","0.84","0.72","0.37","0.56","0.05","0.15","0.47000000000000003","0.75","0.97","0.67","0.9","0.41000000000000003","0.11","0.76","0.13","0.62","0.34","0.71","0.58","0.67","0.77","0.29","0.51","0.91","0.41000000000000003","0.28","0.53","0.52","0.52","291","1","291"
"1","4","0.04","0.52","0.52","0.44","0.75","0.26","0.49","1","0.97","0.4","0.97","0.11","0.6","0.75","1","0.45","0.71","0.25","0.6","0.34","0.8200000000000001","0.54","0.92","0.52","0.28","0.1","0.5700000000000001","0.9500000000000001","0.59","0.43","0.43","0.1","0.79","0.9400000000000001","0.07","291","1","291"
"1","5","0.12","0.9","0.79","0.64","0.67","0.72","0.19","0.77","0.1","0.19","0.8","0.86","0.6","0.58","0.07","0.66","0.05","0.71","0.97","0.37","0.96","0.97","0.42","0.79","0.67","0.56","0.31","0.11","0.15","0.51","0.72","0.04","0.16","0.62","0.19","291","1","291"
"1","6","0.38","0.75","0","0.66","0.59","0.14","0.43","0.09","0.04","0.58","0.99","0.8200000000000001","0.37","0.74","0.6900000000000001","0.64","0.6","1","0.85","0.14","0.31","0.55","0.84","0.49","0.29","0.11","0.84","0.17","0.67","0.73","0.06","0.13","0.51","0.58","0.3","288","1","288"
"1","7","0.12","0.53","0.74","0.39","0.79","0.99","0.06","0.66","0.98","0.56","0.92","0.9400000000000001","0.67","0.5700000000000001","0.6","0.85","0.5","0.34","0.11","0.52","0.77","0.02","0.9","0.49","0.76","0.18","0.52","0.8200000000000001","0.99","0.46","0.6","0.64","0.49","0.56","0.21","291","1","288"
"1","8","0.05","0.44","0.18","0.8","0.8300000000000001","0.7000000000000001","0.04","0.76","0.24","0.71","0.67","0.6","0.52","0.34","0.43","0.79","0.17","0.03","0.25","0.4","0.55","0.34","0.9","0.65","0.5","0.67","0.18","0.63","0.07","0.6900000000000001","0.4","0.58","1","0.42","0.81","291","1","288"
"1","9","0.24","0.02","0.46","0.61","0.97","0.39","0.67","0.91","0.05","0","0.45","0.22","0.87","0.33","0.5700000000000001","0.9","0.91","0.53","0.09","0.12","0.18","0.33","0.75","0.85","0.14","0.5700000000000001","0.8200000000000001","0.66","0.61","0.88","0.28","0.5","0.6900000000000001","0.37","0.63","223","1","223"
"1","10","0.91","0.36","0.3","0.55","0.19","0.62","0.93","0.9400000000000001","0.8200000000000001","0.79","0.04","0.56","0.24","0.67","0.7000000000000001","0.75","0.05","0.36","0.8300000000000001","0.14","0.42","0.8200000000000001","0.53","0.4","0.09","0.6","0.01","0.71","0.01","0","0.02","0.93","0.02","0.8","0.02","291","1","223"
