"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","num-replicates","best-fitness-so-far"
"1","1","0.6900000000000001","0.52","0.55","0.07","0.8300000000000001","0.88","0.17","0.47000000000000003","0.2","0","0","0.18","0.7000000000000001","0.88","0.41000000000000003","0.41000000000000003","0.75","0.41000000000000003","0.97","1","0.75","0.98","0.75","0.07","0.41000000000000003","0.56","0.01","0.73","0.66","0.87","0.45","0.9400000000000001","0.87","0.22","0.9500000000000001","1","408"
"1","35","0.07","0.84","0.5","0.64","0.9","0.3","0.86","0.8200000000000001","0.74","0.22","0","0.3","0.68","0.01","0.64","0.79","0.24","0.84","0.4","0.16","0","0.52","0.71","0.84","0.66","0.19","0.75","0.8200000000000001","0.01","0.5","0.25","0.73","0.75","0.43","0.04","1","404"
"1","173","0.59","0.03","0.32","0.34","0.9400000000000001","0.7000000000000001","0.5700000000000001","0.06","0.5700000000000001","0.73","0","0.89","0.7000000000000001","0.75","0.41000000000000003","0.36","0.54","0.41000000000000003","0.97","0","0.75","0.3","0.75","0.07","0.46","0.56","0.62","0.73","0.9","0.39","0.18","0.45","0.4","0.22","0.88","1","399"
"1","438","0.56","0.03","0.36","0.02","0","0.08","0.65","0.19","0.21","0.07","0","0.13","0.04","0.04","0.67","0.8","0.52","0","0.9400000000000001","0","0.04","0.34","0.72","0.96","0.49","0.5700000000000001","0.01","0.73","0.9","0.08","0.44","0.93","0.97","0.21","0.24","1","395"
