"search-number","evaluation","evals-requested-so-far","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","50","0.6900000000000001","0.52","0.55","0.07","0.8300000000000001","0.88","0.17","0.47000000000000003","0.2","0","0","0.18","0.7000000000000001","0.88","0.41000000000000003","0.41000000000000003","0.75","0.41000000000000003","0.97","1","0.75","0.98","0.75","0.07","0.41000000000000003","0.56","0.01","0.73","0.66","0.87","0.45","0.9400000000000001","0.87","0.22","0.9500000000000001","""587741295""","408","408","408","0","408"
"1","2","50","0.47000000000000003","0.55","0.49","0.55","0.32","0.9400000000000001","0.45","0.86","1","0.75","0.01","0.97","0.86","0.58","0.07","0","0.42","0.78","0.41000000000000003","0.9400000000000001","0.42","0.1","0.07","0.3","0.13","0.16","0.35000000000000003","0.89","0.96","0.35000000000000003","0.47000000000000003","0.6900000000000001","0.21","0.45","0.05","""412098325""","418","418","418","0","418"
"1","3","50","0.73","0.9","0.7000000000000001","0.68","0.38","0.66","0.32","0.9400000000000001","0","0.98","0.86","0.6900000000000001","0.55","0.31","0.62","0.64","0.56","0.28","0.56","0.48","0.67","0.81","0.61","0.26","0.12","0.9400000000000001","0.49","0.2","0.11","0.29","0.67","0.6900000000000001","0.8","0.39","0.5700000000000001","""-1260215266""","418","418","418","0","418"
"1","4","50","0.78","0.62","0.32","0.43","0.9400000000000001","0.21","0.3","0.2","0.6900000000000001","0.02","0.78","0.58","0.41000000000000003","0.39","0.23","0.34","0.48","0.32","0.26","0.56","0.04","0.22","0.51","0.48","0.77","0.64","0.03","0.88","0.56","0.75","0.11","0.85","0.76","0.74","0.56","""359518026""","418","418","418","0","418"
"1","5","50","0.26","0.39","0.93","0.76","0.47000000000000003","0.93","0.07","0.68","0.79","0.52","0.65","0.67","0.51","0.31","0.5","0.64","0.07","0.51","0.52","0.8","0.14","0.97","0.78","0.3","0.22","0.97","0.77","0.9400000000000001","0.58","0.49","0.01","0.48","0.6","0.46","0.8200000000000001","""1874978995""","418","418","418","0","418"
"1","6","50","0.13","0.5700000000000001","0.54","0.99","0.22","0.6900000000000001","0.07","0.26","0.19","0.22","0.11","0.35000000000000003","0.68","0.8200000000000001","0.21","0.67","0.07","0.67","0.9400000000000001","0.64","0.67","0.91","0.76","0.81","0.9400000000000001","0.07","0.45","0.07","0.37","0.86","0.34","0.48","0.28","0.6","0.11","""-1540883234""","418","418","418","0","418"
"1","7","50","0.66","0.07","0.96","0.72","0.28","0.43","0.98","0.84","0.06","0.09","0.36","0.26","0.15","0.96","0.56","1","0.19","0.92","0.71","0.65","0.55","0","0.84","0.86","0.54","0.71","0.34","0.17","0.26","0.9","0.49","0.15","0.55","0.75","0.4","""-1899671547""","418","418","418","0","418"
"1","8","50","1","0.9500000000000001","0.52","0.43","0.97","0.08","0.65","0.6","0.65","0.34","0.52","0.99","0.24","0.71","0","0.63","0.9400000000000001","0.79","0.11","0.47000000000000003","0.52","0.67","0.02","0.63","0.43","0.22","0.85","0.65","0.3","0.56","0.72","0.6","0.28","0.56","0.97","""1902766897""","418","418","418","0","418"
"1","9","50","0.02","0.96","0.55","0.97","0.6","0.41000000000000003","0.52","0.91","0.35000000000000003","0.85","0.6","0.15","0.54","0.07","0.67","0.64","0","0.76","0.02","0.39","0.76","0.93","0.97","0.32","0.63","0.09","0.52","0.77","0.76","0.62","0.22","0.18","0.13","0.84","0.98","""1577778702""","421","421","421","0","421"
"1","10","50","0.64","0.85","0.97","0.88","0.3","0.15","0.63","0.11","0.9400000000000001","0.9","0.42","0.07","0.67","0.64","1","0.2","0.31","0.6900000000000001","0.26","1","0.2","0.8200000000000001","0.39","0.37","0.51","0.56","0.77","0.05","0.67","0.43","0.15","0.44","0.28","0.38","0.97","""309922750""","418","418","418","0","418"
