"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","fitness","num-replicates","best-fitness-so-far"
"1","1","0.6900000000000001","0.52","0.55","0.07","0.8300000000000001","0.88","0.17","0.47000000000000003","0.2","0","0","0.18","0.7000000000000001","0.88","0.41000000000000003","0.41000000000000003","0.75","0.41000000000000003","0.97","1","0.75","0.98","0.75","0.07","0.41000000000000003","0.56","0.01","0.73","0.66","0.87","0.45","0.9400000000000001","0.87","0.22","0.9500000000000001","408","1","408"
"1","2","0.47000000000000003","0.55","0.49","0.55","0.32","0.9400000000000001","0.45","0.86","1","0.75","0.01","0.97","0.86","0.58","0.07","0","0.42","0.78","0.41000000000000003","0.9400000000000001","0.42","0.1","0.07","0.3","0.13","0.16","0.35000000000000003","0.89","0.96","0.35000000000000003","0.47000000000000003","0.6900000000000001","0.21","0.45","0.05","418","1","408"
"1","3","0.73","0.9","0.7000000000000001","0.68","0.38","0.66","0.32","0.9400000000000001","0","0.98","0.86","0.6900000000000001","0.55","0.31","0.62","0.64","0.56","0.28","0.56","0.48","0.67","0.81","0.61","0.26","0.12","0.9400000000000001","0.49","0.2","0.11","0.29","0.67","0.6900000000000001","0.8","0.39","0.5700000000000001","418","1","408"
"1","4","0.78","0.62","0.32","0.43","0.9400000000000001","0.21","0.3","0.2","0.6900000000000001","0.02","0.78","0.58","0.41000000000000003","0.39","0.23","0.34","0.48","0.32","0.26","0.56","0.04","0.22","0.51","0.48","0.77","0.64","0.03","0.88","0.56","0.75","0.11","0.85","0.76","0.74","0.56","418","1","408"
"1","5","0.26","0.39","0.93","0.76","0.47000000000000003","0.93","0.07","0.68","0.79","0.52","0.65","0.67","0.51","0.31","0.5","0.64","0.07","0.51","0.52","0.8","0.14","0.97","0.78","0.3","0.22","0.97","0.77","0.9400000000000001","0.58","0.49","0.01","0.48","0.6","0.46","0.8200000000000001","418","1","408"
"1","6","0.13","0.5700000000000001","0.54","0.99","0.22","0.6900000000000001","0.07","0.26","0.19","0.22","0.11","0.35000000000000003","0.68","0.8200000000000001","0.21","0.67","0.07","0.67","0.9400000000000001","0.64","0.67","0.91","0.76","0.81","0.9400000000000001","0.07","0.45","0.07","0.37","0.86","0.34","0.48","0.28","0.6","0.11","418","1","408"
"1","7","0.66","0.07","0.96","0.72","0.28","0.43","0.98","0.84","0.06","0.09","0.36","0.26","0.15","0.96","0.56","1","0.19","0.92","0.71","0.65","0.55","0","0.84","0.86","0.54","0.71","0.34","0.17","0.26","0.9","0.49","0.15","0.55","0.75","0.4","418","1","408"
"1","8","1","0.9500000000000001","0.52","0.43","0.97","0.08","0.65","0.6","0.65","0.34","0.52","0.99","0.24","0.71","0","0.63","0.9400000000000001","0.79","0.11","0.47000000000000003","0.52","0.67","0.02","0.63","0.43","0.22","0.85","0.65","0.3","0.56","0.72","0.6","0.28","0.56","0.97","418","1","408"
"1","9","0.02","0.96","0.55","0.97","0.6","0.41000000000000003","0.52","0.91","0.35000000000000003","0.85","0.6","0.15","0.54","0.07","0.67","0.64","0","0.76","0.02","0.39","0.76","0.93","0.97","0.32","0.63","0.09","0.52","0.77","0.76","0.62","0.22","0.18","0.13","0.84","0.98","421","1","408"
"1","10","0.64","0.85","0.97","0.88","0.3","0.15","0.63","0.11","0.9400000000000001","0.9","0.42","0.07","0.67","0.64","1","0.2","0.31","0.6900000000000001","0.26","1","0.2","0.8200000000000001","0.39","0.37","0.51","0.56","0.77","0.05","0.67","0.43","0.15","0.44","0.28","0.38","0.97","418","1","408"
"1","11","0.53","0.52","0.28","0.79","0.06","0.91","0.89","0.64","0.51","0.1","0.66","0.88","0.99","0.68","0.2","0.07","0.98","0.62","0.44","0.24","0.54","0.8300000000000001","0.09","0.04","0.31","0.8","0.31","0.65","0.27","0.22","0.81","0.77","0.9500000000000001","0.6","0.6","418","1","408"
"1","12","0.68","0.75","0.44","0.64","0.17","0.9500000000000001","0.04","0.58","0.9400000000000001","0.52","0.75","0.73","0.64","0.3","0.51","0.56","0.56","0.47000000000000003","0.41000000000000003","0.8200000000000001","0.35000000000000003","0.03","0.59","0.43","0.67","0.5","0.64","0.37","0","0.75","0.32","0.27","0.49","0.02","0.31","418","1","408"
"1","13","0.72","0.22","0.3","0.26","0.46","0.54","0.97","0.64","0.09","0.73","0.51","0.9500000000000001","0.45","0.71","0.29","0.72","0.51","0.53","0.72","0.29","0.44","0.38","0.22","0.5","0.02","0.45","0.41000000000000003","0.27","0.03","0.07","0.45","0.56","0","0.35000000000000003","0.26","418","1","408"
"1","14","0.59","0.28","0.32","0.34","0.9400000000000001","0.7000000000000001","0.67","0.78","0.01","0.52","0.41000000000000003","0.44","0.53","0.9","0.87","0.26","0.36","0.12","0.74","0.15","0.05","0.72","0.38","0.89","0.22","0.34","0.19","0.26","0.66","0.9500000000000001","0.67","0.97","0.1","0.71","0.33","418","1","408"
"1","15","0.42","0.37","0.3","0.9","0","0.16","0.17","0.29","0.05","0.02","0.56","0.55","0.22","0.9500000000000001","0.09","1","0.25","0.51","0.97","0","0.15","0.68","0.3","0.01","0.18","0.63","0.56","0.86","0.32","0.47000000000000003","0.35000000000000003","0.56","0.56","0.52","0.53","418","1","408"
"1","16","0.19","0.12","0.07","0.16","0.13","0.46","0.9","0.76","0.44","0.73","0.26","0.67","0.78","0.56","0.07","0.02","0.07","0.92","0.24","0.6","0.91","0.9","0.56","0.13","0.26","0.18","0.44","0.34","0.63","0.9400000000000001","0.37","0.35000000000000003","0.79","0.06","0.92","418","1","408"
"1","17","0.28","0.64","0.11","0.87","0","0.85","0.63","0.26","0.4","0.54","0.25","0.13","0.88","0.92","0.38","0.56","0.53","0.11","0.81","0.34","0.27","0.79","0.15","0.3","0.03","0.41000000000000003","0.16","0.39","0.79","0.26","0.75","0.97","0","0.93","0.07","418","1","408"
"1","18","0.3","0.66","0.76","0.4","0.37","0.6","0.71","0.15","0.04","0.76","0.52","0.77","0.3","0.8200000000000001","0.19","0.87","0.34","0.78","0.88","0.84","0.04","0.71","0.63","0.38","0.29","0.77","0.25","0.49","0.73","0.54","0.36","0.46","0.34","0.22","0.22","418","1","408"
"1","19","0.6","0.9400000000000001","0.99","0.15","0.91","0.45","0.51","0.02","0.5","0.74","0.45","0.11","0.6900000000000001","0.5700000000000001","0.41000000000000003","0.91","0.45","0.46","0.91","0.63","0.41000000000000003","0.38","0.79","0.15","0","0.84","0.68","0.7000000000000001","0.02","0.85","0.53","0.24","0.06","0.51","0.99","418","1","408"
"1","20","0.5700000000000001","0.85","0.79","0.08","0.26","0.72","0.92","0.67","0.41000000000000003","0.6","0.67","0.47000000000000003","0.68","0.97","0.37","0.87","0.27","0.04","0.85","0.31","0.79","0.19","0.86","0.88","0.34","0.8200000000000001","0.64","0.67","0.48","0.2","0.78","0.85","0","0.31","0.9","418","1","408"
"1","21","0.62","0.5700000000000001","0.67","0.21","0.79","0.78","0.8300000000000001","0.32","0.56","0.49","0.19","0.33","0.96","0.52","0.64","0.5700000000000001","0.38","0.71","0.4","0.29","0.68","0.15","0.21","0.55","0.97","0.52","0.32","0.47000000000000003","0.6","0.9400000000000001","0.59","0.78","0.49","0.59","0.85","418","1","408"
"1","22","0.59","0.92","0.06","0.11","0.61","0.04","0.64","0.41000000000000003","0.92","0.42","0.79","0.34","0","0.49","0.84","0.68","0.6","0.44","0.8","0.52","0.97","0.65","0.9500000000000001","0.07","0.53","0","0.23","0.08","0","0.22","0.29","0.8","0.07","0.45","0.16","418","1","408"
"1","23","0.27","0.71","0.72","0.67","0.3","0.29","0.35000000000000003","0.55","0.86","0.7000000000000001","0.28","0.34","0.14","0.81","0.7000000000000001","0.61","0.55","0.8200000000000001","0.91","0.07","0.52","0.14","0.93","0.22","0.85","0","0.64","0.78","0.32","0.04","0.04","0.71","0.04","0.47000000000000003","0.2","418","1","408"
"1","24","0.19","0.1","0.3","0.51","0.2","0.96","0.42","0.19","0.81","0.64","0.56","0.37","0.5","0.45","0.7000000000000001","0","0.35000000000000003","0.11","0.46","0.89","0.44","0.8200000000000001","0.41000000000000003","0.05","0.21","0.85","0.8200000000000001","0.64","0.19","0.8200000000000001","0.78","0.08","0.13","0.61","0.49","418","1","408"
"1","25","1","0.78","0.87","0.15","0.24","0.81","0.5700000000000001","0.06","0.5700000000000001","0.81","0.9","0.89","0.7000000000000001","0.68","0.22","0.43","0.09","0.88","0.27","0.33","0.01","0.8","0.61","0.7000000000000001","0.07","0.4","0.55","0.43","0.41000000000000003","0.86","0.48","0.8200000000000001","0.67","0.19","0.24","418","1","408"
"1","26","0.8200000000000001","0.34","0.9","0.96","0.1","0.26","0.8200000000000001","0.75","0.46","0.28","0.37","0.22","0.62","0.98","0.29","0.19","0.58","0.27","0.15","0.25","0.03","0.72","0.22","0.51","0.28","0.28","0.18","0.79","0.59","0.8","0.61","0.23","0.86","0.32","0.76","418","1","408"
"1","27","0.09","0.23","0.56","0.18","0.9400000000000001","0.7000000000000001","0.97","0.9400000000000001","0.73","0.11","0.41000000000000003","0.77","0.79","0.13","0.86","0.46","0.9400000000000001","0.44","0.81","0.47000000000000003","0.66","0.41000000000000003","0.77","0.21","0.24","0.35000000000000003","0.49","0.88","0.9500000000000001","0.63","0.67","0.87","0.31","0.19","0","418","1","408"
"1","28","0.3","0.79","0.31","0.74","0","0.61","0.05","0.3","0.97","0.18","0.8200000000000001","0.8200000000000001","0.8300000000000001","0.67","0.02","0.27","0.52","0.2","0.25","0.79","0.25","0.26","0.1","0.05","0.56","0.22","0.23","0.84","0.98","0.75","0.92","0.29","0.7000000000000001","0.9400000000000001","0.75","418","1","408"
"1","29","0.11","0.34","0.03","0.98","0.78","0.67","0.11","0.39","0.07","0.51","0.34","0.07","0.11","0.53","0.17","0.17","0.11","0.04","0.3","0.45","0.1","0.97","0.73","0.8200000000000001","0.06","0.31","0.85","0.5700000000000001","0.67","0.71","0","0.05","0.14","0.79","0.27","418","1","408"
"1","30","0.52","0.44","0.15","0.86","0.56","0.64","0.68","0.63","0.39","0.14","0.63","0.78","0.6","0.45","0.71","0.63","0.73","0.9400000000000001","0.01","0.31","0.23","0.72","0.72","0.96","0.16","0.44","0","0.63","0.04","0.97","0.49","0.22","0.01","0.21","0.5700000000000001","418","1","408"
"1","31","0.15","0.11","0.21","0.9500000000000001","0.67","0.89","0.86","0.66","0.13","0.33","0.86","0.88","0.5","0.56","0.52","0.01","0.75","0.32","0.9400000000000001","0.41000000000000003","0.41000000000000003","0.14","0.9","0.31","0.32","0.12","0.9400000000000001","0.1","0.2","0.72","0.89","0.26","0.25","0.42","0.3","418","1","408"
"1","32","0.2","0.75","0.26","0.7000000000000001","0.86","0.35000000000000003","0.49","0.64","0.04","0.22","0.7000000000000001","0.07","0.13","0.79","0.64","0.49","0.52","0.32","0.76","0.76","0.41000000000000003","0.26","0.23","0","0.91","0.34","0.19","0.9","0.46","0.37","0.53","0.76","0.51","0.71","0.49","418","1","408"
"1","33","0.38","0.8300000000000001","0.68","0.8200000000000001","0.62","0.64","0.13","0.14","0.04","0.6900000000000001","0.49","0.06","0.86","0.75","0.92","0.49","0.75","0.14","0.61","0.2","0.53","0.24","0.22","0.01","0.5700000000000001","0.84","0.04","0.9400000000000001","0.15","0.34","0.9","0.99","0.75","0.52","0.88","418","1","408"
"1","34","0.39","0.49","0.61","0.65","0.9500000000000001","0.42","0.86","0.52","0.63","0.15","0.7000000000000001","0.88","0.24","0.53","0.01","0.92","0.39","0.09","0.7000000000000001","0.23","0.93","0.56","0.5","0.86","0.86","0.11","0.06","0.22","0.8200000000000001","0.9","0.44","0.07","0.9500000000000001","0.3","0.92","418","1","408"
"1","35","0.07","0.84","0.5","0.64","0.9","0.3","0.86","0.8200000000000001","0.74","0.22","0","0.3","0.68","0.01","0.64","0.79","0.24","0.84","0.4","0.16","0","0.52","0.71","0.84","0.66","0.19","0.75","0.8200000000000001","0.01","0.5","0.25","0.73","0.75","0.43","0.04","404","1","404"
"1","36","0.06","0.63","0.13","0.3","0.07","0.63","0.5700000000000001","0.75","0.65","0.51","0.98","0.05","0.84","0.9","0.11","0.34","0.37","0.04","0.22","0.1","0.51","0.8","0.33","0.26","0.52","0.6","0.04","0.88","0.81","0.68","0.17","0.98","0.01","0.99","0.07","418","1","404"
"1","37","0.67","0.09","0.73","0.05","1","0.62","0.84","0.36","0.75","0.26","0.36","0.97","0.62","0.05","0.44","0.16","0.27","0.8200000000000001","0.9400000000000001","0.9","0.59","0.9500000000000001","0.06","0.39","0.54","0.68","0.75","0.78","0.35000000000000003","0.81","0.48","0.6","0.22","0.38","0.45","418","1","404"
