"search-number","evaluation","evals-requested-so-far","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","50","0.41000000000000003","0.3","0.97","0.81","0.33","0.39","0.6900000000000001","0.77","0.74","0.9","0.07","0.64","0.97","0.88","0.07","0.74","0.71","0.54","0.63","0.45","0.93","0.42","0.12","0.61","0.75","0.11","0.52","0.42","0.48","0.44","0.3","0.56","0.31","0.98","0.26","""-1222549922""","355","355","355","0","355"
"1","2","50","0.97","0.71","0.39","0.79","0.6900000000000001","0.03","0.41000000000000003","0.4","0.01","0.99","0.3","0.22","0.62","0.37","0.12","0.64","0.34","0.19","0.18","0.06","0.5","0.05","0.09","0.79","0.63","0.87","0.89","0.05","0.2","0.2","0.19","0.39","0.31","0.46","0.07","""1984666741""","355","355","355","0","355"
"1","3","50","0.06","0.11","0.56","0.56","0.9","0.71","0.48","0.15","0.5","0.72","0.13","0.86","0.8200000000000001","0.11","0.49","0.49","0.28","0.22","0.04","0.49","1","0.47000000000000003","0.15","0.8300000000000001","0.3","0.02","0.18","0.62","0.24","0.3","0.56","0.5","0.41000000000000003","0.66","0.17","""2056194169""","355","355","355","0","355"
"1","4","50","0.64","0.62","0.14","0.9400000000000001","0.02","0.92","0.7000000000000001","0.28","0.64","0.53","0","0.6900000000000001","0.9","0.53","0.73","0.4","0.49","0.16","0.14","0.86","0.52","0.62","0.37","0.6","0.44","0.38","0.09","0.22","0.4","0.45","0.86","0.5700000000000001","0.9500000000000001","0.26","0.6900000000000001","""1813595704""","344","344","344","0","344"
"1","5","50","0.91","0.58","0.92","0.65","0.51","0.71","0","0.11","0.07","0.78","0.55","0.27","0","0.08","0.87","0.15","0.79","0.92","0.08","0.49","0.3","0.9","0.9","0.14","0.04","1","0.04","0.44","0.19","0.35000000000000003","0.23","0.8300000000000001","0.6900000000000001","0.44","0.88","""-117257440""","355","355","355","0","355"
"1","6","50","0","0.98","0.96","0.84","0.65","0.59","0.76","0.37","0.9500000000000001","0.34","0.77","0.29","0.78","0.34","0.61","0.9400000000000001","0.05","0.01","0.97","0.36","0.61","0.46","0.25","0.66","0.9500000000000001","0","0.01","0.81","0.34","0.49","0.07","0.56","0.39","0.81","0.56","""-1238930519""","327","327","327","0","327"
"1","7","50","0.11","0.03","0.51","0.29","0.52","0.56","0.06","0.01","0.59","0.77","0.45","0.85","0.71","0.51","0.14","0.98","0.73","0.87","0.67","0.77","0.22","0.26","0.9500000000000001","0.4","0.3","0.64","0.93","0.61","0.46","0.19","0.8300000000000001","0.53","0.34","0.24","0.68","""-1931703890""","372","372","372","0","372"
"1","8","50","0.07","0.18","0.41000000000000003","0.15","0.34","0.67","0.16","0.65","0.01","0.42","0.11","0.63","0.06","0.86","0.37","0.79","0.8300000000000001","0.96","0.64","0.75","0.5","0.45","0.78","0.6","0.45","0.56","0.96","0.48","0.96","0.26","0.8200000000000001","0.84","0.92","0.97","0.22","""1259862135""","355","355","355","0","355"
"1","9","50","0.85","0.7000000000000001","0.01","0.81","0.6","0.33","0.54","0.15","0.1","0","0.8300000000000001","0.01","0.06","0.44","0.28","0.33","0.41000000000000003","0.07","0.66","0.1","0.39","0.92","0.62","0.99","0.36","0.7000000000000001","0.5700000000000001","0.23","0.07","0.56","0.12","0.87","0.5","0.43","0.96","""-427935831""","368","368","368","0","368"
"1","10","50","0.41000000000000003","0.87","0.64","0.22","0.06","0.9","0.36","0.61","0.47000000000000003","0","0.72","0.8200000000000001","0.08","0.97","0.8200000000000001","0.87","0.8300000000000001","0.11","0.3","0.23","0.86","0.53","0.23","0.62","0.26","0.6","0.56","0.74","0.49","0.99","0.31","0.66","0.49","0.25","0.77","""1722543535""","365","365","365","0","365"
"1","11","50","0.23","0.05","0.08","0.6","0.49","0.91","0.22","0.07","0.08","0.88","0.86","0.49","0.97","0.85","0.3","0.43","0","0.85","0.21","0.1","0.85","0.77","0.23","0.65","0.45","0.1","0.44","0.73","0.64","0.18","0.34","0.41000000000000003","0.81","0.9400000000000001","0.62","""-1575670503""","355","355","355","0","355"
