"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","num-replicates","best-fitness-so-far"
"1","1","0.41000000000000003","0.3","0.97","0.81","0.33","0.39","0.6900000000000001","0.77","0.74","0.9","0.07","0.64","0.97","0.88","0.07","0.74","0.71","0.54","0.63","0.45","0.93","0.42","0.12","0.61","0.75","0.11","0.52","0.42","0.48","0.44","0.3","0.56","0.31","0.98","0.26","1","355"
"1","4","0.64","0.62","0.14","0.9400000000000001","0.02","0.92","0.7000000000000001","0.28","0.64","0.53","0","0.6900000000000001","0.9","0.53","0.73","0.4","0.49","0.16","0.14","0.86","0.52","0.62","0.37","0.6","0.44","0.38","0.09","0.22","0.4","0.45","0.86","0.5700000000000001","0.9500000000000001","0.26","0.6900000000000001","1","344"
"1","6","0","0.98","0.96","0.84","0.65","0.59","0.76","0.37","0.9500000000000001","0.34","0.77","0.29","0.78","0.34","0.61","0.9400000000000001","0.05","0.01","0.97","0.36","0.61","0.46","0.25","0.66","0.9500000000000001","0","0.01","0.81","0.34","0.49","0.07","0.56","0.39","0.81","0.56","1","327"
"1","207","0","0.29","0.96","0.2","0.9400000000000001","0.8300000000000001","0.71","0.22","0.3","0","0.31","0.56","0.22","0.05","0.58","0.36","0.04","0","0.04","0.42","0.03","0.46","0.26","0.9400000000000001","0.93","0","0","0.81","0.81","0.6","0.07","0.56","0.4","0.8","0.52","1","322"
"1","577","0.02","0","0.97","0.75","0.6900000000000001","0.59","0.66","0.96","0.97","0.34","0.49","0.52","0.46","0.03","0.05","0.37","0.04","0.97","0.64","0.53","0.6","0.29","0.85","0.04","0.51","0.09","0.04","0.27","0.33","0.15","0.39","0.97","0.23","0.16","0.51","1","306"
"1","657","0.03","0","0.97","0.75","0.89","0.59","0.9","0.97","0.97","0.45","0.78","0.22","0.8200000000000001","0.8","0.35000000000000003","0.37","0.07","0.63","0.04","0.41000000000000003","0.03","0.45","0","0.9","0.29","0.01","0.07","0.12","0.31","0.22","0.35000000000000003","0.41000000000000003","0.52","0.22","0.68","1","305"
