"search-number","evaluation","evals-requested-so-far","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","50","0.65","0.91","0.07","0.6","0.74","0.62","0.15","0.5","0.46","0.27","0.61","0.99","0.4","0.56","0.72","0.9500000000000001","0.32","0.3","0.85","0.92","0.35000000000000003","0.38","0.04","0.8200000000000001","0.17","0.37","0.8200000000000001","0.28","0.34","0.8","0.98","0.79","0.64","0.26","0.11","""-1084321285""","236","236","236","0","236"
"1","2","50","0.34","0.4","0.9","0.11","0.37","1","0.34","0.15","0.3","0.38","0.59","0.36","0.81","0.08","0.22","0.8200000000000001","0.04","0.05","0","0.55","0.33","0.03","0.65","0.51","0.77","0.6900000000000001","0.64","0.65","0.15","0.36","0.23","0.9","0.38","0.64","0.52","""1449178942""","236","236","236","0","236"
"1","3","50","0.68","0.86","0.05","0.76","0.18","0.86","0.04","0.23","0.01","0.61","0.3","0.27","0.71","0.17","0.9400000000000001","0.31","0.5","0.9400000000000001","0.47000000000000003","0.47000000000000003","0.41000000000000003","0.09","0.24","0.29","0.36","0.34","0.9400000000000001","0.8","0.78","0.31","0.19","0.56","0.56","0.9","0.07","""-301461780""","236","236","236","0","236"
"1","4","50","0.37","0.04","0.9400000000000001","0.76","0.41000000000000003","0.55","0.7000000000000001","0.76","0.91","0.9","0.59","0.56","0.11","0.93","0.04","0.02","0.54","0.8200000000000001","0.44","0.44","0.29","0.8","0","0.6","0.96","0.08","0.6","0.56","0.26","0.19","0.01","0.47000000000000003","0.42","0.89","0.75","""-1435888797""","238","238","238","0","238"
"1","5","50","0.7000000000000001","0.48","0.13","0.41000000000000003","0.97","0.55","0.81","0.16","0.47000000000000003","0.11","0.43","0.42","0.23","0.35000000000000003","0.56","0.2","0.65","0.25","0.44","0.73","0.93","0.5","0.34","0.99","0.8300000000000001","0.73","0.6","0.33","0.3","0.99","0.37","0.56","0.17","0.62","0.75","""-1704368014""","236","236","236","0","236"
"1","6","50","0.31","0.93","0.25","0.28","0.64","0.25","0.38","0.81","0.9400000000000001","0.26","0.36","0.96","0.49","0.05","0.63","0.15","0.37","0.9500000000000001","0.99","0.4","0.46","0.07","0.89","0.6","0.34","0.87","0.41000000000000003","0.75","0.87","0.97","0.46","0.33","0.97","0.53","0.58","""1166586662""","236","236","236","0","236"
"1","7","50","0.65","0.31","0.84","0.04","0.38","0.9","0.49","0.99","0.04","0.24","0.26","0.52","0.34","0.16","0.3","0.97","0.35000000000000003","0.12","0.5","0.85","0.44","0.67","0.32","0.55","0.19","0.04","0.21","0.21","0.97","0.23","0.74","0.75","0.34","0.77","0.85","""-1685314265""","236","236","236","0","236"
"1","8","50","0.62","0.99","0.45","0.97","0.97","0.26","0.25","0.87","0.53","0.29","0.32","0.52","0.53","0.4","0.11","0.53","0.8","0.85","0.87","0.18","0.9400000000000001","0.78","0.99","0.55","0.15","0.56","0.03","0.74","0.22","0.61","0.28","0.56","0.07","0.63","0.53","""-1304351066""","236","236","236","0","236"
"1","9","50","0.53","0.6","0.45","0.44","0.41000000000000003","0.08","0.66","0.28","0.04","0.79","0.08","0.52","0.8200000000000001","0.87","0.81","0.34","0.07","0.96","0.58","0.9","0.13","0.8","0.19","0.08","0.49","0.28","0.11","0.41000000000000003","0.72","0.34","0.01","0.3","0.97","0.55","0.38","""529865941""","236","236","236","0","236"
"1","10","50","0.38","0.36","0.06","0.62","0.19","0.55","0.88","0.67","0.42","0.2","0.76","0.54","0.92","0.8200000000000001","0.19","0.86","0.45","0.66","0.88","0.98","0.12","0.68","0.54","0.99","0.07","0","0.67","0.79","0.64","0.64","0.33","0.16","0.81","0.56","0.22","""-1381983280""","239","239","239","0","239"
