"search-number","evaluation","evals-requested-so-far","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","50","0.86","0.8","0.8200000000000001","0.04","0.17","0.28","0.76","0.99","0.3","0.73","0.8300000000000001","0.11","0.32","0.47000000000000003","0.42","0.93","0.8200000000000001","0.66","0.41000000000000003","0.9500000000000001","0.98","0.09","0.8","0.68","0.81","0.96","0.72","0","0.5700000000000001","0.37","0.67","0.5","0.92","0.47000000000000003","0.92","""-125601640""","340","340","340","0","340"
"1","2","50","0.64","0.48","0.15","0.38","0.9","0.67","0.99","0.77","0.67","0.34","0.59","0.41000000000000003","0.03","0.6900000000000001","0.56","0.72","0.6","0.45","0.07","0.41000000000000003","1","0.26","0.9400000000000001","0.45","0.37","0.89","0.79","0.23","0.06","0.8300000000000001","0.8","0.8200000000000001","0.81","0.15","0.68","""-924403394""","340","340","340","0","340"
"1","3","50","0.43","0.37","0.7000000000000001","0.22","0.93","0.5","0.68","0.89","0","0.19","0.96","0.37","0.34","0.01","0.49","0.02","0.45","0.15","0.77","0.1","0.52","0.64","0.71","0.68","0.75","0.16","0.47000000000000003","0.75","0.53","0.2","0.4","0.6","0.1","0.9","0.86","""1195202075""","340","340","340","0","340"
"1","4","50","0.33","0.07","0.9500000000000001","0.56","0.43","0.03","0.55","0.92","0.55","0.99","0.6","0.15","0.75","0.61","0.28","0","0.49","0.34","1","0.48","0.8","0.34","0.11","0.18","0.01","0.21","0.81","0.75","0.63","0.71","0.52","0.07","0.8","0.14","0.72","""-1965901544""","340","340","340","0","340"
"1","5","50","0.13","0.53","0.88","0.67","0.32","0.2","0.16","0.08","0.45","0.44","0.55","0.25","0.84","0.9400000000000001","0.04","0.79","0.93","0.99","0.72","0.29","0.66","0.51","0.35000000000000003","0.44","0.86","0.07","0.49","0.9500000000000001","0.06","0.87","0.8","0.73","0.72","0.04","0.79","""-878607121""","340","340","340","0","340"
"1","6","50","0.65","0.76","0.09","0.22","0.04","0.8300000000000001","0.52","0.63","0.02","0.6","0.24","0.79","0.6","0.01","0.99","0.34","0.2","0.77","0.3","0.86","0.03","0.44","0.03","0.03","0.27","0.8300000000000001","0.99","0.63","0.12","1","0.19","0.59","0.45","0.47000000000000003","0.09","""1705568554""","340","340","340","0","340"
"1","7","50","0.09","0.5700000000000001","0.44","0.89","0.06","0.97","0.75","0.65","0.21","0.8200000000000001","0.34","0.8200000000000001","0.27","0.44","0.45","0.9","0.59","0.9400000000000001","0.73","0.59","0.38","0.7000000000000001","0.55","0.11","0.51","0.17","0.9500000000000001","0.42","0.26","0.59","0.93","0.09","0.38","0.23","0.07","""-1623046650""","340","340","340","0","340"
"1","8","50","0.86","0.48","0.26","0.48","0.37","0.71","0.73","0.56","0.11","0.25","0.58","0.09","0.56","0.44","0.65","0.88","0.42","0.98","0.79","0.81","0.91","0.7000000000000001","0.29","0.71","0.6","0.86","0.98","0.04","0.56","0.05","0.26","0.29","0.28","0.56","0.49","""2076734771""","340","340","340","0","340"
"1","9","50","0.9400000000000001","0.67","0.22","0.04","0.74","0.6","0.03","0.3","0.9","0.17","0.62","0","0.23","0.8300000000000001","0.98","0.24","0.07","0.41000000000000003","0.89","0.41000000000000003","0.67","0.45","0.1","0.42","0.88","0.79","0.79","0.85","0.41000000000000003","0.71","0.4","0.3","0.21","0.6900000000000001","0.48","""-397951881""","340","340","340","0","340"
"1","10","50","0.56","0.74","0.38","1","0.14","0.84","0.32","0.48","0.97","0.92","0.96","0.8200000000000001","0.99","0","0","0.64","0.9400000000000001","0.32","0.6","0.61","0.26","0.37","0.04","0.87","0.85","0.49","0.9","0.34","0.9","0.64","0.41000000000000003","0.11","0.14","0.56","0.86","""1962779052""","340","340","340","0","340"
