"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","num-replicates","best-fitness-so-far"
"1","1","0.86","0.8","0.8200000000000001","0.04","0.17","0.28","0.76","0.99","0.3","0.73","0.8300000000000001","0.11","0.32","0.47000000000000003","0.42","0.93","0.8200000000000001","0.66","0.41000000000000003","0.9500000000000001","0.98","0.09","0.8","0.68","0.81","0.96","0.72","0","0.5700000000000001","0.37","0.67","0.5","0.92","0.47000000000000003","0.92","1","340"
"1","28","0.15","0.01","0.26","0.73","0.41000000000000003","0.64","0.21","0.4","0.93","0.45","0.01","0.52","0.67","0.71","0.97","0.67","0.49","0.01","0.71","0.15","0.38","0.36","0.06","0.86","0.34","0.81","0.9400000000000001","0.17","0.6900000000000001","0.67","0.47000000000000003","0.59","0.37","0.22","0.23","1","337"
"1","113","0.15","0","0.26","0.73","0.38","0.64","0.43","0.4","0.9","0.18","0.01","0.52","0.67","0.71","0.97","0.67","0.49","0.01","0.71","0.15","0.38","0.36","0.06","0.86","0.46","0.81","0.9400000000000001","0.17","0.6900000000000001","0.6","0.47000000000000003","0.59","0.9","0.22","0.16","1","312"
"1","207","0","0.01","0.26","0.74","0.41000000000000003","0.64","0.11","0.43","0.93","0.45","0.14","0.52","0.6","0.56","0.34","0.67","0.13","0.14","0.71","0.11","0.38","1","0.25","0.81","0.93","0.81","0.97","0.17","0.66","0.67","0.44","0.68","0.37","0.22","0.97","1","304"
"1","411","0","0.01","0.26","0.73","0.38","0.78","0.85","0.4","0","0.35000000000000003","0","0.86","0.21","0.64","0.97","0.67","0.6","0.06","0.71","0.15","0.38","0.43","0.06","0.86","0.9","0.78","0.34","0.17","0.77","0.67","0.8300000000000001","0.36","0.37","0.79","0.78","1","297"
