"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","num-replicates","best-fitness-so-far"
"1","1","0.34","0.52","0.41000000000000003","0.19","0.9","0.44","0.8300000000000001","0.68","0.9400000000000001","0.52","0.64","0.4","0.21","0.8200000000000001","0.19","0.26","0.26","0.8200000000000001","0.52","0.64","0.08","0.38","0.12","0.62","0.64","0.4","0.63","0.46","0.6900000000000001","0.04","0.87","0.43","0.9","0.7000000000000001","0.1","1","211"
"1","4","0.91","0.07","0.08","0.49","0.02","0.21","0.6","0.65","0.21","0.11","0.12","0.8200000000000001","0.9","0.46","0.02","0.26","0.8300000000000001","0.9","0","0.99","0.39","0.4","0.45","0.52","0.24","0.97","0.74","0.5700000000000001","0.12","0.63","0.8200000000000001","0.04","0.07","1","0.24","1","209"
"1","11","0.49","0.04","0.11","0.52","0.8200000000000001","0.18","0.56","0.32","0.53","0","0.4","0.09","0.67","0.78","0.34","0.39","0.39","0.81","0.24","0.97","0.68","0.04","0.56","0.44","0.88","0.63","0.17","0.13","0.3","0.86","0.13","0.51","0.87","0.44","0.03","1","208"
"1","438","0.5","0.04","0.71","0.78","0.58","0.45","0.71","0.45","0.04","0.72","0","0.36","0.18","0.46","0.6","0.24","0.92","0.8200000000000001","1","0.04","0.8200000000000001","0.46","0.12","0.65","0.67","0.43","0.63","0.49","0.6","0.3","0.39","0.43","1","0.71","0.29","1","207"
