"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","num-replicates","best-fitness-so-far"
"1","1","0.15","0.63","0.44","0.55","0.66","0.93","0.26","0.56","0.34","0.6900000000000001","0.36","0.59","0.9","0.93","0.5","0.31","0.61","1","0.16","0","0.2","0.2","0.26","0.03","0.05","0.9","0.06","0.8300000000000001","0.6","0.05","0.88","0.74","0.66","0.79","0.42","1","410"
"1","12","0.75","0.01","1","0.56","0.3","0.58","0.89","0.53","0.97","0.22","0.25","0.05","0.92","0.7000000000000001","0.44","0.08","0.5","0.8200000000000001","0.35000000000000003","0.02","0.89","0.98","0.7000000000000001","0.44","0.92","0.14","0.6900000000000001","0.35000000000000003","0.08","0.11","0.45","0.44","0.59","0.2","0.1","1","395"
"1","21","0.79","0.7000000000000001","0.79","0.96","0.01","0.74","0.26","0.9","0.45","0.39","0.47000000000000003","0.76","0.27","0.26","0.8","0.8","0.13","0.64","0.1","0.97","0","0.27","0.49","0.9","0.19","0.3","0.99","0.63","0.86","0.44","0.97","0.48","0.9","0.05","0.75","1","392"
"1","136","0.64","0.9","0.97","0.24","0.92","0.68","0.65","0.22","0.35000000000000003","0.42","0.4","0.75","0.03","0.65","0.19","0.18","0.29","0.92","0.72","0.49","0.65","0.16","0.03","0.79","0.02","0.09","0.26","0.9500000000000001","0.24","0.74","0.67","0.64","0.16","0.03","0.21","1","385"
