"search-number","evaluation","evals-requested-so-far","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","50","0.15","0.63","0.44","0.55","0.66","0.93","0.26","0.56","0.34","0.6900000000000001","0.36","0.59","0.9","0.93","0.5","0.31","0.61","1","0.16","0","0.2","0.2","0.26","0.03","0.05","0.9","0.06","0.8300000000000001","0.6","0.05","0.88","0.74","0.66","0.79","0.42","""1707348275""","410","410","410","0","410"
"1","2","50","0.23","0.19","0.04","0.75","0.65","0.8200000000000001","0.97","0.15","0.75","0.7000000000000001","0.54","0.47000000000000003","0.13","0.15","0.07","0.1","0.6","0.19","0.84","0.4","0.56","0.45","0.31","0.06","0.67","0.84","0.49","0.39","0.15","0.52","0.93","0.96","0.97","0.41000000000000003","0.91","""686063686""","410","410","410","0","410"
"1","3","50","0.39","0.84","0.91","0.74","0.21","0.8300000000000001","0.8200000000000001","0.99","0.35000000000000003","0.64","0.11","0.04","0.15","0.97","0.9400000000000001","0.79","0.15","0.32","0.45","0.29","0.8200000000000001","0.07","0.62","0.39","0.19","0.1","0.15","0.97","0.92","0.8200000000000001","0.01","0.64","0.6","0.41000000000000003","0.44","""568594478""","410","410","410","0","410"
"1","4","50","0.6","0.7000000000000001","0.71","0.35000000000000003","0.12","0.8200000000000001","0.09","0.8","0.1","0.41000000000000003","0.15","0.16","0.45","0.21","0.08","0.64","0.11","0.17","0.96","0.01","0.97","0.98","0.8","0.22","0.36","0.07","0.64","0.84","0.63","0.19","0.14","0.16","0.53","0.4","0.61","""-1300755814""","410","410","410","0","410"
"1","5","50","0.17","0.52","0","0.55","0.27","0.75","0.77","0.11","0.42","0.43","0.11","0.33","0.58","0.12","0.43","0.04","0.13","0.45","0.01","0.2","0.9","0.45","0.9","0.92","0.68","0.63","0.66","0.28","1","0.4","0.88","0.67","0.59","0.65","0.27","""-1863929287""","427","427","427","0","427"
"1","6","50","0","0.9","0.63","0.15","0.9","0.04","0.41000000000000003","0.61","0.3","0.23","0.12","0.41000000000000003","0.15","0.63","0.29","1","0.79","0.39","0.65","0.64","0.73","0.65","0.43","0.97","0.64","0.21","0.97","0.73","0.8200000000000001","0.53","0.22","0.59","0.3","0.81","0.07","""2092521547""","414","414","414","0","414"
"1","7","50","0.62","0.85","0.48","0.21","0.87","0.48","0.15","0.33","0.79","0.07","0.5700000000000001","0.37","0.9400000000000001","0.34","0.14","0.42","0.8200000000000001","0.05","0.37","0.45","0.8200000000000001","0.26","0.34","0.22","0.52","0.36","0.03","0.75","0.93","0.79","0.23","0.77","0.79","0.51","0.38","""-2140886206""","410","410","410","0","410"
"1","8","50","0.91","0.42","0.41000000000000003","0.97","0.9400000000000001","0.96","0.22","0.9400000000000001","0.45","0.75","0.73","0.01","0.55","0.15","0.6","0.3","0.74","0.3","0.42","0.66","0.11","0.99","0.86","0.87","0.89","0.03","0.41000000000000003","0.07","0.34","0.6","0.09","0.8200000000000001","0.41000000000000003","0.93","0.07","""-407733802""","410","410","410","0","410"
"1","9","50","0.81","0.84","0.22","0.86","0.66","0.91","0.01","0.41000000000000003","0.98","0.26","0.55","0.84","0.36","0.33","0.84","0.92","0.26","0.43","0.8200000000000001","0.07","0.15","0.55","0.8300000000000001","0.26","0.78","0.99","0.41000000000000003","0.49","0.55","0.3","0.26","0.9400000000000001","0.9","0.52","0.75","""1058327093""","410","410","410","0","410"
"1","10","50","0.71","0.06","0.49","1","0.8200000000000001","0.64","0.15","0.19","0.58","0.8300000000000001","0.31","0.34","0.56","0.31","0.41000000000000003","0.21","0.72","0.3","0.16","0.77","0.75","0.46","0.36","0.64","0.63","1","0.05","0.87","0.41000000000000003","0.26","0.56","0.78","0.3","0.84","0.66","""650900749""","443","443","443","0","443"
"1","11","50","0.79","0.9500000000000001","0","0.23","0.42","0.15","0.33","0.81","0.67","0.64","0.7000000000000001","0.64","0.42","0.15","0.9500000000000001","0.31","0.21","0.07","0.65","0.4","0.75","0.2","0.5","0.39","0.33","0.84","0.8300000000000001","0.22","0.25","0.59","0.07","0.85","0.67","0.39","0.49","""-1882731941""","427","427","427","0","427"
"1","12","50","0.75","0.01","1","0.56","0.3","0.58","0.89","0.53","0.97","0.22","0.25","0.05","0.92","0.7000000000000001","0.44","0.08","0.5","0.8200000000000001","0.35000000000000003","0.02","0.89","0.98","0.7000000000000001","0.44","0.92","0.14","0.6900000000000001","0.35000000000000003","0.08","0.11","0.45","0.44","0.59","0.2","0.1","""-449819569""","395","395","395","0","395"
"1","13","50","0.75","0.9","0.97","0.24","0.92","0.68","0.65","0.22","0.92","0.42","0.4","0.75","0.03","0.65","0.21","0.19","0.17","0.92","0.07","0.52","0.77","0.16","0.03","0.79","0.13","0.09","0.26","0.9500000000000001","0.23","0.73","0.67","0.9500000000000001","0.16","0.12","0.21","""-1682139849""","410","410","410","0","410"
"1","14","50","0.26","0.75","0.19","0.48","0.48","0.56","0.89","0.35000000000000003","0.9400000000000001","0.64","0.5700000000000001","0.53","0.49","0.84","0.81","0.21","0.58","0.26","0.16","0.5","0.52","0.5700000000000001","0.78","0.52","0.37","0.61","0.45","0.12","0.86","0.8300000000000001","0.25","0.04","0.2","0.21","0.18","""-1298109129""","410","410","410","0","410"
"1","15","50","0.88","0.12","0.43","0.49","0.18","0","0.08","0.07","0.25","0.78","0.27","0.52","0.08","0.9","0","0.13","0.8200000000000001","0.36","0.06","0.79","0.67","0.6","0.71","0.86","0.46","0.6","0.12","0.37","0.84","0.11","0.7000000000000001","0.44","0.8","0.33","0.67","""827324496""","410","410","410","0","410"
"1","16","50","0.31","0.9400000000000001","0.28","0.86","0.48","0.56","0.8","0.22","0.47000000000000003","0.68","0.41000000000000003","0.3","1","0.25","0.72","0.39","0.07","0.9","0.07","0.8200000000000001","0.04","0.48","0.29","0.27","0.54","0.43","0.11","0.79","0.52","0.1","0.19","0.04","0.75","0.39","0.26","""-681906070""","410","410","410","0","410"
"1","17","50","0.11","0.9400000000000001","0.8200000000000001","0.11","0.71","0.23","0.31","0.48","0.23","0.56","0.89","0.29","0.48","0.5","0.9400000000000001","0.8300000000000001","0.91","0.9400000000000001","0.63","0.9400000000000001","0.04","0.79","0.91","0.6","0.16","0.11","0.21","0.11","0.65","0.75","0.74","0.45","0.88","0.19","0.72","""728082356""","410","410","410","0","410"
"1","18","50","0.43","0.08","0.56","0.9400000000000001","0.3","0.44","0.11","0.35000000000000003","0.19","0.84","0.85","0.14","0.15","0.27","0.42","0.04","0.9500000000000001","0.91","0.19","0.8200000000000001","0.23","0.11","0.41000000000000003","0.98","0.28","0.03","0.76","0.74","0.65","0.34","0.89","0.1","0.9500000000000001","0.2","0.63","""690483588""","410","410","410","0","410"
"1","19","50","0.6900000000000001","0.99","0.6","0.86","0.75","0.89","0.96","0.71","0.77","0.43","0.6900000000000001","0.19","0.11","0.8200000000000001","0.93","0.45","0.93","0.32","0.76","0.4","0.79","0.07","0.08","0.3","0.97","0.26","0.53","0.45","0.8200000000000001","0.8200000000000001","0.23","0.6900000000000001","0.11","0.49","0.61","""-1627615060""","410","410","410","0","410"
"1","20","50","0.9","0.12","0.05","0.21","0.87","0.15","0.81","0.33","0.38","0.93","0.87","0.65","0.04","0.65","0.19","0.22","0.02","0.86","0.15","0.36","0.63","0.17","0.51","0.41000000000000003","0.55","0.89","0.23","0.93","0.63","0.04","0.74","0.02","0.5700000000000001","0.09","0.9","""-1591386143""","410","410","410","0","410"
"1","21","50","0.79","0.7000000000000001","0.79","0.96","0.01","0.74","0.26","0.9","0.45","0.39","0.47000000000000003","0.76","0.27","0.26","0.8","0.8","0.13","0.64","0.1","0.97","0","0.27","0.49","0.9","0.19","0.3","0.99","0.63","0.86","0.44","0.97","0.48","0.9","0.05","0.75","""326121846""","392","392","392","0","392"
"1","22","50","0.53","0.6","0.41000000000000003","0.11","0.06","0.21","0.59","0.88","0.86","0.34","0.3","0.3","0.74","0.31","0.51","0.25","0.79","0.15","0.14","0.56","0.24","0.87","0.68","0.52","0.85","0.42","0.13","0.05","0.52","0.9","0.68","0.8","0.16","0.72","0.86","""868020735""","410","410","410","0","410"
