"search-number","evaluation","evals-requested-so-far","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","50","0.3","0.9400000000000001","0.75","0.93","0.66","0.71","0.81","0.13","0.04","0.07","0.13","0.63","0.6","0.87","0.67","0.38","0.37","0.32","0.37","0.91","0.62","0.8200000000000001","0.37","0.43","0.34","0.38","0.04","0.59","0.92","0.8300000000000001","0.12","0.41000000000000003","0.7000000000000001","0.47000000000000003","0.52","""2139588169""","408","408","408","0","408"
"1","2","50","0.46","0.97","0.8200000000000001","0.19","0.26","0.6900000000000001","0.07","0.9500000000000001","0.59","0.92","0.08","0.75","0.73","0.9500000000000001","0.73","0.87","0.41000000000000003","0.38","0.8","0.56","0.96","0.43","0.21","0.56","0.21","0.49","0.41000000000000003","0.14","0.18","0.11","0.89","0.97","0.73","0.07","0.5700000000000001","""-1982436195""","408","408","408","0","408"
"1","3","50","0.31","0.78","0.8200000000000001","0.07","0.37","0.78","0","0.43","0.35000000000000003","0.77","0.6900000000000001","0.22","0.7000000000000001","0.74","0.97","0.9","0.98","0.5700000000000001","0.89","0.9400000000000001","0.91","0.45","0.91","0.05","0.73","0.88","0.56","0.22","0.55","0.21","0.11","0.51","0.66","0","0.67","""-723996572""","408","408","408","0","408"
"1","4","50","0.27","0.61","0.08","0.18","0.66","0.84","0.9500000000000001","0.2","0.86","0.45","0.18","0.75","0.12","0.9400000000000001","0.8300000000000001","0.93","1","0.34","0.37","0.35000000000000003","0.09","0.97","0.41000000000000003","0.19","0.79","0.45","0.13","0.11","0.03","0.86","0.06","0.3","0.27","0.41000000000000003","0.36","""-588480814""","408","408","408","0","408"
"1","5","50","0.84","0.04","0.41000000000000003","0.34","0.89","0.24","0.27","0.85","0.25","0.9","0.06","0.24","0.9500000000000001","0.17","0.27","0","0.46","0.5","0.2","0.37","0.72","0.8","0.12","0.52","0.76","0.22","0.26","0.7000000000000001","1","0.52","0.24","0.11","0.39","0.75","0.19","""1670444349""","409","409","409","0","409"
"1","6","50","0.74","0.62","0.5700000000000001","0.44","0.58","0.8","0.54","0.91","0.34","0.91","0.04","0.81","0.79","0.08","0.26","0.64","0.28","0.41000000000000003","0.41000000000000003","0.32","0.3","1","0.52","0.74","0.11","0.8300000000000001","0.51","0.64","0.41000000000000003","0.7000000000000001","0.8300000000000001","0.14","0.31","0.9","0.16","""1789631851""","408","408","408","0","408"
"1","7","50","0.56","0.91","0.63","0.47000000000000003","0.41000000000000003","0.67","0.56","0.61","0.43","0.36","0.4","0.04","0.56","0.66","0.46","0.06","0.52","0.11","0.8300000000000001","0.02","0.8200000000000001","0","0","0.4","0.22","0.67","0.6","0.37","0.71","0.88","0.67","0.06","0.29","0.45","0.86","""1140653011""","408","408","408","0","408"
"1","8","50","0.04","0.79","0.87","0.71","0.07","0.04","0.13","0.97","0.1","0.21","0.64","0.43","0.98","0.9","0.25","0.24","0.7000000000000001","0.91","0.13","0.12","0.89","0.78","0.6","0.88","0.68","0.04","0.72","0.75","0.71","0.17","0.99","0.45","0.65","0.56","0.9500000000000001","""-233736849""","408","408","408","0","408"
"1","9","50","0.62","0.46","0.29","0.51","0.89","0.3","0.89","0.39","0.75","0.24","0.01","0.56","0.5700000000000001","0.51","0.65","1","0.58","0.75","0.26","0.19","0.76","0.51","0.44","0.91","0.52","0.49","0.81","0.52","0.65","0.99","0.67","0.44","0.03","0.44","0.92","""1178595273""","408","408","408","0","408"
"1","10","50","0.51","0.86","0.6","0.6","0.9400000000000001","0.22","0.65","0.63","0.86","0.49","0.19","0.45","0.08","0.11","0.84","0.66","0.45","0.44","0.13","0.6","0.54","0.09","0.08","0","0.48","0.87","0.81","0.09","0.52","0.6","0.31","0.51","0.6","0.34","0.49","""-139014620""","408","408","408","0","408"
"1","11","50","0.23","0.08","0.3","0.73","0.52","0.8200000000000001","0.46","0.92","0.34","0.14","0.67","0.08","0.38","0.49","0.14","0.9400000000000001","0.6","0.56","0.84","0.79","0.91","0.34","0.9400000000000001","0.64","0.96","0.88","0.58","0.1","0.25","0.06","0.17","0.24","0.61","0.71","0.2","""-1854047101""","408","408","408","0","408"
"1","12","50","0.52","0.12","1","0.45","0.45","0.27","0.71","0.74","0.72","0.62","0.5700000000000001","0.59","0.91","0.66","0.44","0.31","0.97","0.3","0.64","0","0.73","0.34","0.86","0.51","0.07","0.71","0.74","0.6","0.15","0.17","0.67","0.65","0.66","0.35000000000000003","0.04","""-1837041610""","408","408","408","0","408"
"1","13","50","0.9","0.8200000000000001","0.13","0.97","0.97","0.76","0.98","0.14","0.9500000000000001","0.52","0.46","0.5","0.33","0.12","0.46","0.28","0.1","0.67","0.8300000000000001","0.29","0.63","0.23","0.15","0.98","0.11","0.8200000000000001","0.64","0.7000000000000001","0","1","0.25","0.77","0.93","0.09","0.89","""-1379863207""","408","408","408","0","408"
"1","14","50","0.52","0.61","0.6","0.81","0.15","0.52","0.21","0.64","0.38","0.64","0.38","0.91","0.58","0.09","0.78","0.37","0.08","0.11","0.78","0.6","0.21","0.45","0.6","0.7000000000000001","0.35000000000000003","0.3","0.33","0.35000000000000003","0.04","0.22","0.02","0.17","0.9500000000000001","0.44","0.16","""1578066337""","408","408","408","0","408"
"1","15","50","0.65","0.76","0.5700000000000001","0.75","0.37","0.2","0.63","0.52","0.88","0.99","0.48","0.61","0.12","0.67","0.15","0.47000000000000003","0.34","0.89","0.77","0.58","0.87","0.19","0.11","0.11","0.8200000000000001","0.24","0.81","0.5","0.81","0.52","0.23","0.52","0.22","0.71","0.08","""629417779""","408","408","408","0","408"
"1","16","50","0.14","0.89","0.45","0.74","0.3","0.52","0.88","0.88","0.86","0.2","0.97","0.9500000000000001","0.5700000000000001","0.34","0.81","0.59","0.1","0.32","0.14","0.7000000000000001","0.8200000000000001","0.22","0.15","0.79","0.6","0.07","0.13","0.11","0.98","0.51","0.39","0.32","0.33","0.23","0.01","""-777936551""","408","408","408","0","408"
"1","17","50","0.22","0.03","0.84","0.62","0.04","0.38","0.67","0.53","0.43","0.71","0.38","0.49","0.14","0.71","0.6","0.9","0.87","0.97","0.43","0.37","0.99","0.71","0.01","0.41000000000000003","0.9400000000000001","0.84","0","0","0.34","0.99","0.86","0.64","0.16","0.05","0.8","""-775293600""","392","392","392","0","392"
"1","18","50","0.9","0.75","0.68","0.46","0.9400000000000001","0.22","0.07","0.22","0.65","0.26","0.74","0.64","0.28","0.64","0.61","0.14","0.26","0.66","0.45","0.87","0.59","0.59","0.67","0.93","0.8200000000000001","0.61","0.21","0.61","0.39","0.17","0.47000000000000003","0.5700000000000001","0.79","0.8200000000000001","0.37","""1112142945""","408","408","408","0","408"
"1","19","50","0.9500000000000001","0.32","0.97","0.73","0.21","0.38","0.41000000000000003","0.65","0.56","0.65","0.27","0.2","0.78","0.6900000000000001","0.04","0.8","0","0.24","0.41000000000000003","0.29","1","0.59","0.97","0.9500000000000001","0.34","0.12","0.77","0.28","0.04","0.66","0.68","0.34","0.31","0.22","0.19","""732490251""","408","408","408","0","408"
"1","20","50","0.65","0.7000000000000001","0.9500000000000001","0.7000000000000001","0.37","0.16","0.8300000000000001","0.01","0.49","0.17","0.9500000000000001","0.89","0.64","0.74","0.15","0.41000000000000003","0.36","0.9400000000000001","0.6","0.26","0.75","0.9400000000000001","0.81","0.6","0.42","0.12","0.86","0.5700000000000001","0.81","0.64","0.16","0.44","0.67","0.17","0.4","""-1418376888""","408","408","408","0","408"
"1","21","50","0.9400000000000001","0.64","0.2","0.87","0.03","0.26","0","0.18","0.07","0.77","0.01","0.21","0.44","0.88","0.89","0.11","0.8","0.53","0.35000000000000003","0.2","0.79","0.37","0.7000000000000001","0.7000000000000001","0.15","0.06","0.15","0","0.11","0.25","0.07","0.04","0.8200000000000001","0.75","0.64","""-2129477776""","408","408","408","0","408"
"1","22","50","0.75","0.43","0.87","0.68","0.5700000000000001","0.46","0.13","0.1","0.18","0","0.75","0.15","0.45","0.37","0.72","0.75","0.77","0.99","0.23","0.5700000000000001","0.68","0.39","0.9500000000000001","0.72","0.03","0.8200000000000001","1","0.04","0.01","0.62","0.86","0.06","0.9","0.8200000000000001","0.32","""271655178""","419","419","419","0","419"
"1","23","50","0.9400000000000001","0.97","0.05","0.5","0.06","0.41000000000000003","0.8200000000000001","0.56","0.98","0.25","0.03","0.61","0.73","0.59","0.56","0.04","0.63","0.9400000000000001","0.4","0.71","0","0.52","0.09","0.9","0.27","0.59","0.5700000000000001","0.22","0.85","0.47000000000000003","0.16","0.19","0.62","0.54","0.88","""-2065377836""","408","408","408","0","408"
"1","24","50","0.05","0.45","0.4","0.8200000000000001","0.97","0.29","0.19","0.41000000000000003","0.33","0.66","0.92","0.41000000000000003","1","0.18","0.86","0.75","0.16","0.79","0","0.96","0.72","0.72","0.31","0.49","0.34","0.8200000000000001","0.77","0.56","0.64","0.37","0.72","0.76","0.64","0.79","0.74","""218417546""","408","408","408","0","408"
"1","25","50","0.86","0.8300000000000001","0.56","0.58","0.13","0.53","0.05","0.6","0.72","0.71","0.76","0.49","0.9400000000000001","0.16","0.41000000000000003","0.89","0.67","0.41000000000000003","0.71","0.49","0.07","0.92","0.86","0.36","0.8300000000000001","0.4","0","0.03","0.86","0.09","0.53","0.34","0.46","0.8200000000000001","0.65","""1971753528""","408","408","408","0","408"
"1","26","50","0.96","0.62","0.98","0.48","0.97","0.36","0","0.07","0.05","0.72","0.11","0.51","0.15","0.88","0.78","0.36","0.9","0","0.97","1","0.5","0.8","0.18","0.53","0.63","0.75","0.84","0.98","0.79","0.37","0.08","0.86","0.87","0.45","0.71","""-1508213125""","408","408","408","0","408"
"1","27","50","0.23","0.07","0.11","0.75","0.9","0.59","0.26","0.37","0","0.45","0.9","0.27","0.52","0.31","0.03","0.19","0.28","0.2","0.9500000000000001","0.65","0.02","0.16","0.71","0.71","0.21","0.39","0.6900000000000001","0.85","0.08","0.92","0.06","0.19","0.54","0.51","0.6","""362911654""","408","408","408","0","408"
"1","28","50","0.37","0.07","0.32","0.6","0.6900000000000001","0.42","0.9500000000000001","0.7000000000000001","0.17","0.97","0.89","0.81","0.04","0","0.48","0.8200000000000001","0.22","0.86","0.12","0.41000000000000003","0.8200000000000001","0.78","0.46","0.64","0.96","0.75","0.81","0.66","0.8300000000000001","0.97","0.86","0.8","0.97","0.6900000000000001","0.34","""-1539089998""","408","408","408","0","408"
"1","29","50","0.3","0.56","0.64","0.78","0.9400000000000001","0.33","0.78","0.41000000000000003","0.04","0.6900000000000001","0.5","0.66","0.42","0.75","0.6900000000000001","0.1","0.21","0.41000000000000003","0.8","0.35000000000000003","0.91","0.24","0.11","0.49","0.75","0.67","0.02","0.79","0.49","0.3","0.1","0.56","0.14","0.15","0.08","""-1053493670""","408","408","408","0","408"
"1","30","50","0.71","0.41000000000000003","0.51","0.8200000000000001","0.48","0.26","0.36","0.56","0.32","0.4","0.04","0.3","0.54","0.02","0.64","0.34","0.37","0.88","0.09","0.45","0.15","0.29","0.86","0.08","0.87","0.45","0.56","0","0.53","0.15","0.38","0.24","0.9","0.51","0.42","""1889466152""","408","408","408","0","408"
"1","31","50","0.71","0.13","0.41000000000000003","0.31","0.4","0.36","0.87","0.99","0.37","0.67","0.39","0.64","0.56","0.39","0.75","0.99","0.39","1","0.27","0.62","0.32","0.04","0.8200000000000001","0.8200000000000001","0.79","0.3","0.74","0.09","0.9400000000000001","0.34","0.04","0.54","0","0.03","0.22","""1509426130""","408","408","408","0","408"
"1","32","50","0.67","0.04","0.49","0.19","0.31","0.08","0.89","0.86","0.79","0.13","0.03","0.11","0.18","0.15","0.79","0.33","0.04","0.74","0.54","0.87","0.44","0.9400000000000001","0.02","0.29","0.51","0.56","0.43","0.86","0.55","0.56","0.47000000000000003","0.79","0.67","0.55","0.59","""-1502166069""","409","409","409","0","409"
"1","33","50","0.8300000000000001","0.62","0.28","0.68","0.72","0.81","0.8","0.52","0.74","0.37","0.05","0.49","0.52","0.7000000000000001","0.22","0.9400000000000001","0.22","0.14","0.54","0.14","0.41000000000000003","0.04","0.1","0.8300000000000001","0.8200000000000001","0.99","0.03","0.97","0.8300000000000001","0.08","0.46","0.73","0.6","0.43","0.26","""-165633531""","408","408","408","0","408"
"1","34","50","0.5","0.81","0.74","0.73","0.52","0.56","0.15","0.66","0.49","0.05","0.36","0.36","0.75","0.4","0.5","0.26","0.56","0.21","0.18","0.86","0.41000000000000003","0.98","0.33","0.93","0.55","0.29","0.13","0.04","0.66","0.04","0.16","0.06","0.16","0.47000000000000003","1","""-545499457""","408","408","408","0","408"
"1","35","50","0.34","0.3","0.01","0.15","0.87","0.22","0.97","0.9500000000000001","0.04","0.66","0.26","0.6900000000000001","0.61","0.12","0.2","0.9","0.59","0.36","0.3","0.09","0.51","0.6","0.28","0.25","0.51","0.9400000000000001","0.68","0.89","0.02","0.58","0.34","0.85","0.39","0.25","0.35000000000000003","""604830428""","406","406","406","0","406"
"1","36","50","0.41000000000000003","0.59","0.49","0.3","0.01","0.64","0.47000000000000003","0.8200000000000001","0.66","0.56","0.96","0.22","0.34","0.04","0.16","0.74","0.23","0.99","0.85","0.66","0.37","0.15","0.26","0.34","0.34","0.73","0.15","0.41000000000000003","0.55","0.08","0.08","0.66","0.45","0.8200000000000001","0.2","""2082476991""","408","408","408","0","408"
"1","37","50","0.4","0.66","0.15","0.72","0.63","0.9400000000000001","0.8","0.03","0.58","0.99","0.86","0.64","0.62","0.1","0.97","0.4","0.36","0.87","0.6","0.67","0.45","0.25","0.5700000000000001","0.74","0.67","0.59","0.85","0.86","0.46","0.22","0.13","0.52","0.23","0.3","0.97","""-1631763007""","408","408","408","0","408"
"1","38","50","0.35000000000000003","0.07","0.97","0.06","0.5700000000000001","0.64","0.91","0.67","0.49","0.97","0.6","0.07","0.6900000000000001","0.97","0.97","0.37","0.35000000000000003","0.8","0.07","0.64","0.06","0.59","0.51","0.64","0.54","0.9400000000000001","0.07","0.65","0.32","0.64","0.74","0.6","0.8","0.49","0.04","""-466183242""","408","408","408","0","408"
"1","39","50","0.9","0.07","0.07","0.67","0.93","0.04","0.11","0.91","0.12","0.19","0.26","0.28","0.31","0.8200000000000001","0.75","0.19","0.98","0.41000000000000003","0.33","0.37","0.63","0.04","0.34","0.81","0.64","0.98","0.6","0.3","0.9","0.18","0.45","0.91","0.54","0.91","0.79","""-1097509062""","408","408","408","0","408"
"1","40","50","0.42","0.45","0.79","0.47000000000000003","0.58","0.15","0.71","0.31","0.5","0.55","1","0.28","0.28","0.97","0.05","0.58","0.98","0.29","0.56","0.75","0.46","0.27","0.25","0.3","0.8200000000000001","0.5","0.49","0.3","0.56","0.29","0.31","0.22","0.6","0.98","0.74","""-107658927""","408","408","408","0","408"
"1","41","50","0.17","0.52","0.68","0.26","0.4","0.98","0.04","0.6","0.46","0.04","1","0.4","0.88","0.64","0.33","0.21","0.27","0.37","0.8","0.4","0.19","0.64","0.34","0.63","0.6","0.67","0.34","0.64","0.22","0.05","0.31","0.8","0.13","0.77","0.31","""-294884804""","408","408","408","0","408"
"1","42","50","0.84","0.64","0.36","0.78","0.38","0.8300000000000001","0.64","0.8","0.63","0.73","0.5","0.48","0.56","0.9400000000000001","0.9500000000000001","0.71","0.3","0.86","0.79","0.16","0.19","0.6","0.98","0.45","0.24","0.01","0.29","0.47000000000000003","0.73","0","0.96","0.12","0.7000000000000001","0.6","0.4","""1887354888""","408","408","408","0","408"
"1","43","50","0.51","0.1","0.37","0.1","0.32","0.19","0.06","0.19","0.85","0.9","0.87","0","0.29","0.15","0.06","0.48","0.37","0.06","0.5700000000000001","0.86","0.08","0.84","0.9400000000000001","0.92","0.47000000000000003","0.32","0.04","0.03","0.41000000000000003","0.86","0.8200000000000001","0.87","0.87","0.96","0.2","""184637370""","408","408","408","0","408"
"1","44","50","0.14","0","0.3","0.8200000000000001","0.31","0.9400000000000001","0.33","0.72","0.81","0.12","0.63","0.31","0.02","0.37","0.3","0.4","0.18","0.56","0","0","0.74","0.9500000000000001","0.78","0.68","0.06","0.76","0.55","0.61","0.43","0.54","0.77","0.52","0.6","0.51","0.9400000000000001","""-741856861""","390","390","390","0","390"
"1","45","50","0.35000000000000003","0.07","0.93","0.81","0.86","0.85","0","0.36","0.77","0.11","0.46","0.67","0.33","0.9500000000000001","0.21","0.5700000000000001","0.5","0.1","0.9400000000000001","0.71","0.56","0.31","0.34","0.98","0.22","0.04","0.34","0.22","0.91","0.5","0","0.52","0.01","0.15","0.41000000000000003","""1161264001""","408","408","408","0","408"
"1","46","50","0.21","0.59","0.03","0.02","0.33","0.33","0.13","0.01","0.9400000000000001","0.22","0.54","0.34","0.64","0.16","0.15","0.04","0.66","0.63","0.97","0.03","0.8200000000000001","0.42","0.22","0.62","0.26","0.26","0.12","0.86","0.07","0.58","0.52","0.34","0.29","0.61","0.02","""-538198580""","408","408","408","0","408"
"1","47","50","0.48","0.06","0.55","0.23","0.14","0.04","0.7000000000000001","0.28","0.07","0.79","0.16","0.6900000000000001","0.77","0.52","1","0.21","0.18","0.79","0.17","0.48","0.79","0.48","0.62","0.33","0.43","0.5","0.87","0.52","0.21","0.89","0.9","0.63","0.37","0.52","0.22","""1986028505""","404","404","404","0","404"
"1","48","50","0.67","0.39","0.34","0.44","0.61","0.63","0.12","0.2","0.37","0.13","0.54","0.9400000000000001","0.87","0.67","0.67","0.5700000000000001","0.79","0.81","0.93","0.59","0.7000000000000001","0.68","0.56","0.76","0.8200000000000001","0.36","0.24","0.9500000000000001","0.15","0.25","0.56","0.15","0.43","0.67","0.8200000000000001","""-211137695""","408","408","408","0","408"
"1","49","50","0.51","0.71","0.52","0.03","0.36","0.97","0.05","0.3","0.13","0.03","0.01","0.97","0.48","0.41000000000000003","0.07","0.24","0.19","0.84","0.67","0.45","0.64","0.32","0.9400000000000001","0.64","0.43","0.07","0.4","0.66","0.16","0.17","0.81","0.65","0.38","0.45","0.45","""-675595126""","403","403","403","0","403"
"1","50","50","0.98","0.8200000000000001","0.41000000000000003","0.71","0.91","0.38","0.9","0.8300000000000001","0.37","0.12","0.2","0.23","0.19","0.24","0.9","0.97","0.9","0.49","0.99","0.78","0.81","0.84","0.65","0.4","0.61","0.08","0.01","0.04","0.37","0.71","0.9500000000000001","0.6","0.14","0.9400000000000001","0.76","""-1456538004""","408","408","408","0","408"
"1","51","100","0.64","0.7000000000000001","0.9500000000000001","0.7000000000000001","0.37","0.16","0.8300000000000001","0.01","0.13","0.17","0.9500000000000001","0.38","0.64","0.74","0.22","0.15","0.36","0.9400000000000001","0.6","0.26","0.75","0.9400000000000001","0.81","0.6","0.43","0.12","0.86","0.5700000000000001","0.81","0.45","0.16","0.47000000000000003","0.67","0.17","0.4","""-331789937""","408","408","408","0","408"
