"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","num-replicates","best-fitness-so-far"
"1","1","0.3","0.9400000000000001","0.75","0.93","0.66","0.71","0.81","0.13","0.04","0.07","0.13","0.63","0.6","0.87","0.67","0.38","0.37","0.32","0.37","0.91","0.62","0.8200000000000001","0.37","0.43","0.34","0.38","0.04","0.59","0.92","0.8300000000000001","0.12","0.41000000000000003","0.7000000000000001","0.47000000000000003","0.52","1","408"
"1","17","0.22","0.03","0.84","0.62","0.04","0.38","0.67","0.53","0.43","0.71","0.38","0.49","0.14","0.71","0.6","0.9","0.87","0.97","0.43","0.37","0.99","0.71","0.01","0.41000000000000003","0.9400000000000001","0.84","0","0","0.34","0.99","0.86","0.64","0.16","0.05","0.8","1","392"
"1","44","0.14","0","0.3","0.8200000000000001","0.31","0.9400000000000001","0.33","0.72","0.81","0.12","0.63","0.31","0.02","0.37","0.3","0.4","0.18","0.56","0","0","0.74","0.9500000000000001","0.78","0.68","0.06","0.76","0.55","0.61","0.43","0.54","0.77","0.52","0.6","0.51","0.9400000000000001","1","390"
"1","86","0.14","0","0.3","0.79","0.31","0.9400000000000001","0.33","0.72","0.81","0.12","0","0.31","0.02","0.37","0.3","0.4","0.17","0.56","0","0","0.74","0.9500000000000001","0.78","0.68","0.05","0.76","0.55","0.61","0.43","0.54","0.77","0.52","0.6","0.51","0.9400000000000001","1","384"
"1","770","0.25","0","0.3","0.67","0.33","0.45","0.63","0.89","0.02","0.21","0","0.9","0.03","0.88","0.77","0.86","0.07","0.04","0.86","0.56","0.15","0.19","0.32","0","0.6","0.73","0.15","0.41000000000000003","0.96","0.79","0.41000000000000003","0.79","0.78","0.04","0.6","1","383"
"1","851","0.25","0","0.3","0.67","0.33","0.14","0.63","0.89","0.01","0.19","0","0.67","0.61","0.04","0.6","0.77","0.75","0.29","0.04","0.56","0.85","0.07","0.92","0.78","0.71","0.75","0.52","0.45","0.09","0.15","0.8","0.72","0.04","0.09","0.32","1","382"
"1","960","0.01","0.03","0.3","0.67","0.63","0.81","0.63","0.38","0.01","0.21","0.15","0.9","0.03","0.71","0.76","0.85","0.07","0.04","0.86","0.56","0.3","0.15","0.32","0.56","0.3","0.03","0.73","0.67","0.26","0.04","0.81","0.73","0.75","0.64","0.9500000000000001","1","378"
"1","1009","0.01","0.03","0.3","0.67","0.63","0.81","0.63","0.38","0.9400000000000001","0","0","0.6900000000000001","0.03","0.9500000000000001","0.62","0.86","0.07","0.64","0.52","0.56","0.09","0.15","0.32","0","0.64","0.86","0.15","0.14","0.37","0.79","0.37","0.79","0.81","0.04","0.77","1","377"
